Acat01G000010	EVM0024352
Acat01G001620	EVM0032030
Acat01G001630	EVM0017364
Acat01G001640	EVM0022716
Acat01G001650	EVM0001976
Acat01G001660	EVM0002975
Acat01G001670	EVM0035089
Acat01G001680	EVM0034282
Acat01G001690	EVM0021104
Acat01G001700	EVM0011254
Acat01G001710	EVM0019995
Acat01G001720	EVM0011485
Acat01G001730	EVM0015719
Acat01G001740	EVM0018108
Acat01G001750	EVM0010824
Acat01G001760	EVM0008821
Acat01G001770	EVM0001543
Acat01G001780	EVM0018192
Acat01G001790	EVM0003003
Acat01G001800	EVM0028368
Acat01G001810	EVM0022396
Acat01G001820	EVM0009067
Acat01G001830	EVM0018716
Acat01G001840	EVM0026045
Acat01G001850	EVM0001120
Acat01G001860	EVM0004261
Acat01G001870	EVM0000915
Acat01G001880	EVM0026998
Acat01G001890	EVM0009390
Acat01G001900	EVM0027720
Acat01G001910	EVM0009421
Acat01G001920	EVM0014000
Acat01G001930	EVM0012212
Acat01G001940	EVM0007051
Acat01G001950	EVM0031429
Acat01G001960	EVM0031070
Acat01G001970	EVM0019262
Acat01G001980	EVM0002493
Acat01G001990	EVM0015281
Acat01G002000	EVM0013209
Acat01G002010	EVM0023810
Acat01G002020	EVM0027837
Acat01G002030	EVM0008260
Acat01G002040	EVM0019088
Acat01G002050	EVM0016492
Acat01G002060	EVM0021061
Acat01G002070	EVM0002704
Acat01G002080	EVM0004856
Acat01G002090	EVM0033537
Acat01G002100	EVM0024064
Acat01G002110	EVM0011017
Acat01G002120	EVM0012159
Acat01G002130	EVM0035077
Acat01G002140	EVM0027652
Acat01G002150	EVM0016616
Acat01G002160	EVM0021358
Acat01G002170	EVM0017725
Acat01G002180	EVM0013335
Acat01G002190	EVM0014396
Acat01G002200	EVM0028708
Acat01G002210	EVM0012068
Acat01G002220	EVM0025387
Acat01G002230	EVM0000422
Acat01G002240	EVM0023257
Acat01G002250	EVM0007878
Acat01G002260	EVM0000438
Acat01G002270	EVM0005710
Acat01G002280	EVM0032037
Acat01G002290	EVM0017512
Acat01G002300	EVM0016634
Acat01G002310	EVM0031239
Acat01G002320	EVM0035025
Acat01G002330	EVM0004515
Acat01G002340	EVM0005440
Acat01G002350	EVM0014414
Acat01G002360	EVM0014621
Acat01G002370	EVM0032837
Acat01G002380	EVM0024080
Acat01G002390	EVM0022349
Acat01G002400	EVM0026098
Acat01G002410	EVM0035189
Acat01G002420	EVM0000842
Acat01G002430	EVM0004573
Acat01G002440	EVM0024579
Acat01G002450	EVM0034635
Acat01G002460	EVM0006915
Acat01G002470	EVM0028800
Acat01G002480	EVM0022354
Acat01G002490	EVM0009314
Acat01G002500	EVM0018494
Acat01G002510	EVM0006705
Acat01G002520	EVM0030261
Acat01G002530	EVM0021278
Acat01G002540	EVM0029937
Acat01G002550	EVM0031698
Acat01G002560	EVM0010796
Acat01G002570	EVM0032120
Acat01G002580	EVM0023849
Acat01G002590	EVM0008685
Acat01G002600	EVM0006559
Acat01G002610	EVM0025704
Acat01G002620	EVM0018006
Acat01G002630	EVM0001955
Acat01G002640	EVM0030926
Acat01G002650	EVM0032861
Acat01G002660	EVM0019024
Acat01G002670	EVM0030921
Acat01G002680	EVM0034991
Acat01G002690	EVM0029794
Acat01G002700	EVM0028933
Acat01G002710	EVM0008383
Acat01G002720	EVM0003596
Acat01G002730	EVM0017361
Acat01G002740	EVM0020139
Acat01G002750	EVM0004479
Acat01G002760	EVM0035048
Acat01G002770	EVM0033167
Acat01G002780	EVM0031954
Acat01G002790	EVM0029945
Acat01G002800	EVM0007432
Acat01G002810	EVM0023105
Acat01G002820	EVM0026119
Acat01G002830	EVM0016289
Acat01G002840	EVM0031840
Acat01G002850	EVM0009075
Acat01G002860	EVM0032812
Acat01G002870	EVM0006941
Acat01G002880	EVM0000709
Acat01G002890	EVM0001410
Acat01G002900	EVM0025424
Acat01G002910	EVM0011351
Acat01G002920	EVM0031023
Acat01G002930	EVM0009631
Acat01G002940	EVM0004641
Acat01G002950	EVM0024994
Acat01G002960	EVM0033211
Acat01G002970	EVM0033791
Acat01G002980	EVM0009668
Acat01G002990	EVM0017606
Acat01G003000	EVM0027632
Acat01G003010	EVM0003834
Acat01G003020	EVM0008523
Acat01G003030	EVM0012526
Acat01G003040	EVM0017743
Acat01G003050	EVM0004385
Acat01G003060	EVM0009102
Acat01G003070	EVM0003359
Acat01G003080	EVM0007838
Acat01G003090	EVM0004784
Acat01G003100	EVM0033604
Acat01G003110	EVM0034338
Acat01G003120	EVM0027776
Acat01G003130	EVM0010839
Acat01G003140	EVM0012438
Acat01G003150	EVM0017825
Acat01G003160	EVM0006319
Acat01G003170	EVM0027665
Acat01G003180	EVM0023820
Acat01G003190	EVM0016512
Acat01G003200	EVM0011806
Acat01G003210	EVM0004121
Acat01G003220	EVM0029228
Acat01G003230	EVM0004220
Acat01G003240	EVM0001884
Acat01G003250	EVM0019378
Acat01G003260	EVM0013533
Acat01G003270	EVM0020326
Acat01G003280	EVM0015829
Acat01G003290	EVM0008623
Acat01G003300	EVM0034043
Acat01G003310	EVM0016155
Acat01G003320	EVM0031627
Acat01G003330	EVM0028758
Acat01G003340	EVM0020253
Acat01G003350	EVM0026739
Acat01G003360	EVM0033795
Acat01G003370	EVM0017138
Acat01G003380	EVM0014423
Acat01G003390	EVM0008136
Acat01G003400	EVM0020750
Acat01G003410	EVM0015037
Acat01G003420	EVM0000241
Acat01G003430	EVM0010884
Acat01G003440	EVM0006939
Acat01G003450	EVM0012542
Acat01G003460	EVM0031471
Acat01G003470	EVM0019534
Acat01G003480	EVM0015233
Acat01G003490	EVM0034561
Acat01G003500	EVM0013308
Acat01G003510	EVM0031654
Acat01G003520	EVM0004770
Acat01G003530	EVM0021681
Acat01G003540	EVM0033900
Acat01G003550	EVM0028805
Acat01G003560	EVM0007052
Acat01G003570	EVM0013538
Acat01G003580	EVM0001194
Acat01G003590	EVM0024636
Acat01G003600	EVM0013910
Acat01G003610	EVM0001967
Acat01G003620	EVM0008142
Acat01G003630	EVM0024876
Acat01G003640	EVM0004225
Acat01G003650	EVM0002113
Acat01G003660	EVM0010002
Acat01G003670	EVM0033148
Acat01G003680	EVM0001821
Acat01G003690	EVM0030759
Acat01G003700	EVM0001809
Acat01G003710	EVM0026796
Acat01G003720	EVM0029814
Acat01G003730	EVM0001307
Acat01G003740	EVM0003338
Acat01G003750	EVM0009364
Acat01G003760	EVM0026963
Acat01G003770	EVM0007700
Acat01G003780	EVM0035184
Acat01G003790	EVM0004795
Acat01G003800	EVM0004159
Acat01G003810	EVM0002112
Acat01G003820	EVM0031569
Acat01G003830	EVM0006614
Acat01G003840	EVM0026614
Acat01G003850	EVM0022093
Acat01G003860	EVM0026253
Acat01G003870	EVM0020390
Acat01G003880	EVM0035118
Acat01G003890	EVM0017821
Acat01G003900	EVM0010924
Acat01G003910	EVM0017853
Acat01G003920	EVM0023861
Acat01G003930	EVM0021680
Acat01G003940	EVM0025697
Acat01G003950	EVM0024366
Acat01G003960	EVM0020490
Acat01G003970	EVM0003327
Acat01G003980	EVM0021963
Acat01G003990	EVM0012412
Acat01G004000	EVM0013399
Acat01G004010	EVM0016586
Acat01G004020	EVM0011051
Acat01G004030	EVM0014033
Acat01G004040	EVM0021025
Acat01G004050	EVM0021267
Acat01G004060	EVM0008364
Acat01G004070	EVM0025155
Acat01G004080	EVM0020707
Acat01G004090	EVM0018273
Acat01G004100	EVM0003910
Acat01G004110	EVM0029186
Acat01G004120	EVM0002179
Acat01G004130	EVM0029938
Acat01G004140	EVM0021494
Acat01G004150	EVM0012374
Acat01G004160	EVM0012652
Acat01G004170	EVM0012998
Acat01G004180	EVM0010674
Acat01G004190	EVM0023456
Acat01G004200	EVM0020274
Acat01G004210	EVM0010926
Acat01G004220	EVM0026382
Acat01G004230	EVM0020596
Acat01G004240	EVM0024306
Acat01G004250	EVM0004979
Acat01G004260	EVM0002854
Acat01G004270	EVM0001459
Acat01G004280	EVM0030817
Acat01G004290	EVM0017194
Acat01G004300	EVM0004566
Acat01G004310	EVM0013951
Acat01G004320	EVM0028144
Acat01G004330	EVM0020358
Acat01G004340	EVM0002218
Acat01G004350	EVM0008721
Acat01G004360	EVM0028320
Acat01G004370	EVM0006508
Acat01G004380	EVM0013228
Acat01G004390	EVM0010606
Acat01G004400	EVM0000142
Acat01G004410	EVM0017604
Acat01G004420	EVM0007682
Acat01G004430	EVM0007173
Acat01G004440	EVM0018163
Acat01G004450	EVM0017078
Acat01G004460	EVM0016756
Acat01G004470	EVM0022372
Acat01G004480	EVM0021819
Acat01G004490	EVM0025298
Acat01G004500	EVM0006592
Acat01G004510	EVM0002346
Acat01G004520	EVM0028286
Acat01G004530	EVM0022103
Acat01G004540	EVM0030166
Acat01G004550	EVM0008914
Acat01G004560	EVM0031272
Acat01G004570	EVM0029835
Acat01G004580	EVM0035066
Acat01G004590	EVM0008691
Acat01G004600	EVM0034334
Acat01G004610	EVM0022641
Acat01G004620	EVM0007695
Acat01G004630	EVM0012202
Acat01G004640	EVM0007029
Acat01G004650	EVM0003478
Acat01G004660	EVM0014696
Acat01G004670	EVM0033606
Acat01G004680	EVM0031113
Acat01G004690	EVM0003476
Acat01G004700	EVM0013135
Acat01G004710	EVM0016299
Acat01G004720	EVM0008718
Acat01G004730	EVM0000685
Acat01G004740	EVM0035033
Acat01G004750	EVM0022241
Acat01G004760	EVM0009582
Acat01G004770	EVM0026677
Acat01G004780	EVM0008011
Acat01G004790	EVM0002295
Acat01G004800	EVM0013689
Acat01G004810	EVM0009686
Acat01G004820	EVM0007939
Acat01G004830	EVM0004410
Acat01G004840	EVM0010753
Acat01G004850	EVM0010799
Acat01G004860	EVM0020777
Acat01G004870	EVM0010861
Acat01G004880	EVM0031642
Acat01G004890	EVM0006857
Acat01G004900	EVM0032677
Acat01G004910	EVM0021631
Acat01G004920	EVM0020064
Acat01G004930	EVM0013913
Acat01G004940	EVM0026664
Acat01G004950	EVM0033280
Acat01G004960	EVM0004235
Acat01G004970	EVM0027148
Acat01G004980	EVM0032518
Acat01G004990	EVM0015716
Acat01G005000	EVM0021636
Acat01G005010	EVM0000639
Acat01G005020	EVM0031178
Acat01G005030	EVM0005889
Acat01G005040	EVM0005627
Acat01G005050	EVM0021103
Acat01G005060	EVM0002935
Acat01G005070	EVM0014813
Acat01G005080	EVM0031879
Acat01G005090	EVM0014190
Acat01G005100	EVM0027517
Acat01G005110	EVM0030106
Acat01G005120	EVM0017746
Acat01G005130	EVM0009735
Acat01G005140	EVM0032285
Acat01G005150	EVM0034236
Acat01G005160	EVM0005604
Acat01G005170	EVM0005277
Acat01G005180	EVM0012318
Acat01G005190	EVM0020564
Acat01G005200	EVM0010291
Acat01G005210	EVM0029364
Acat01G005220	EVM0001658
Acat01G005230	EVM0034469
Acat01G005240	EVM0023600
Acat01G005250	EVM0015142
Acat01G005260	EVM0034515
Acat01G005270	EVM0008959
Acat01G005280	EVM0013798
Acat01G005290	EVM0016808
Acat01G005300	EVM0031983
Acat01G005310	EVM0005062
Acat01G005320	EVM0010901
Acat01G005330	EVM0008093
Acat01G005340	EVM0007986
Acat01G005350	EVM0024902
Acat01G005360	EVM0030864
Acat01G005370	EVM0003745
Acat01G005380	EVM0001226
Acat01G005390	EVM0025480
Acat01G005400	EVM0004100
Acat01G005410	EVM0015221
Acat01G005420	EVM0012021
Acat01G005430	EVM0001786
Acat01G005440	EVM0021598
Acat01G005450	EVM0032874
Acat01G005460	EVM0025252
Acat01G005470	EVM0020046
Acat01G005480	EVM0018660
Acat01G005490	EVM0024650
Acat01G005500	EVM0024690
Acat01G005510	EVM0021708
Acat01G005520	EVM0000036
Acat01G005530	EVM0025228
Acat01G005540	EVM0014287
Acat01G005550	EVM0021301
Acat01G005560	EVM0027320
Acat01G005570	EVM0018993
Acat01G005580	EVM0009163
Acat01G005590	EVM0020791
Acat01G005600	EVM0020178
Acat01G005610	EVM0008420
Acat01G005620	EVM0019451
Acat01G005630	EVM0016790
Acat01G005640	EVM0021927
Acat01G005650	EVM0028446
Acat01G005660	EVM0004830
Acat01G005670	EVM0008552
Acat01G005680	EVM0031040
Acat01G005690	EVM0026893
Acat01G005700	EVM0012491
Acat01G005710	EVM0018268
Acat01G005720	EVM0018382
Acat01G005730	EVM0009263
Acat01G005740	EVM0002487
Acat01G005750	EVM0028558
Acat01G005760	EVM0004118
Acat01G005770	EVM0022905
Acat01G005780	EVM0018815
Acat01G005790	EVM0001613
Acat01G005800	EVM0010671
Acat01G005810	EVM0008431
Acat01G005820	EVM0032382
Acat01G005830	EVM0002630
Acat01G005840	EVM0023066
Acat01G005850	EVM0022388
Acat01G005860	EVM0029820
Acat01G005870	EVM0000739
Acat01G005880	EVM0019837
Acat01G005890	EVM0018394
Acat01G005900	EVM0012775
Acat01G005910	EVM0028791
Acat01G005920	EVM0029026
Acat01G005930	EVM0001228
Acat01G005940	EVM0011505
Acat01G005950	EVM0034760
Acat01G005960	EVM0008173
Acat01G005970	EVM0013176
Acat01G005980	EVM0008494
Acat01G005990	EVM0020963
Acat01G006000	EVM0006996
Acat01G006010	EVM0018493
Acat01G006020	EVM0000385
Acat01G006030	EVM0030128
Acat01G006040	EVM0034775
Acat01G006050	EVM0024271
Acat01G006060	EVM0034308
Acat01G006070	EVM0002393
Acat01G006080	EVM0030367
Acat01G006090	EVM0031979
Acat01G006100	EVM0017248
Acat01G006110	EVM0006609
Acat01G006120	EVM0016639
Acat01G006130	EVM0031664
Acat01G006140	EVM0007102
Acat01G006150	EVM0025675
Acat01G006160	EVM0023395
Acat01G006170	EVM0011865
Acat01G006180	EVM0013170
Acat01G006190	EVM0010965
Acat01G006200	EVM0028437
Acat01G006210	EVM0004858
Acat01G006220	EVM0029068
Acat01G006230	EVM0019344
Acat01G006240	EVM0013900
Acat01G006250	EVM0026813
Acat01G006260	EVM0028362
Acat01G006270	EVM0033380
Acat01G006280	EVM0034995
Acat01G006290	EVM0029319
Acat01G006300	EVM0014143
Acat01G006310	EVM0032634
Acat01G006320	EVM0026071
Acat01G006330	EVM0028906
Acat01G006340	EVM0035038
Acat01G006350	EVM0018142
Acat01G006360	EVM0010852
Acat01G006370	EVM0033859
Acat01G006380	EVM0020053
Acat01G006390	EVM0012973
Acat01G006400	EVM0031331
Acat01G006410	EVM0027578
Acat01G006420	EVM0020404
Acat01G006430	EVM0007650
Acat01G006440	EVM0026325
Acat01G006450	EVM0021905
Acat01G006460	EVM0007563
Acat01G006470	EVM0013918
Acat01G006480	EVM0011165
Acat01G006490	EVM0017513
Acat01G006500	EVM0004776
Acat01G006510	EVM0015622
Acat01G006520	EVM0004264
Acat01G006530	EVM0034246
Acat01G006540	EVM0026003
Acat01G006550	EVM0033914
Acat01G006560	EVM0008439
Acat01G006570	EVM0015967
Acat01G006580	EVM0018592
Acat01G006590	EVM0004952
Acat01G006600	EVM0014896
Acat01G006610	EVM0009775
Acat01G006620	EVM0026031
Acat01G006630	EVM0027586
Acat01G006640	EVM0031507
Acat01G006650	EVM0035079
Acat01G006660	EVM0029342
Acat01G006670	EVM0013544
Acat01G006680	EVM0030295
Acat01G006690	EVM0007230
Acat01G006700	EVM0030298
Acat01G006710	EVM0032668
Acat01G006720	EVM0026504
Acat01G006730	EVM0023994
Acat01G006740	EVM0021786
Acat01G006750	EVM0030397
Acat01G006760	EVM0034391
Acat01G006770	EVM0016116
Acat01G006780	EVM0003289
Acat01G006790	EVM0001421
Acat01G006800	EVM0000783
Acat01G006810	EVM0021035
Acat01G006820	EVM0035211
Acat01G006830	EVM0019313
Acat01G006840	EVM0030691
Acat01G006850	EVM0028355
Acat01G006860	EVM0032250
Acat01G006870	EVM0022146
Acat01G006880	EVM0012399
Acat01G006890	EVM0020650
Acat01G006900	EVM0020211
Acat01G006910	EVM0012054
Acat01G006920	EVM0006928
Acat01G006930	EVM0030007
Acat01G006940	EVM0029043
Acat01G006950	EVM0030204
Acat01G006960	EVM0011992
Acat01G006970	EVM0032116
Acat01G006980	EVM0024057
Acat01G006990	EVM0014032
Acat01G007000	EVM0005327
Acat01G007010	EVM0033796
Acat01G007020	EVM0019709
Acat01G007030	EVM0034008
Acat01G007040	EVM0018706
Acat01G007050	EVM0019505
Acat01G007060	EVM0015229
Acat01G007070	EVM0014465
Acat01G007080	EVM0033531
Acat01G007090	EVM0028341
Acat01G007100	EVM0012938
Acat01G007110	EVM0002815
Acat01G007120	EVM0000531
Acat01G007130	EVM0034140
Acat01G007140	EVM0008573
Acat01G007150	EVM0014786
Acat01G007160	EVM0034190
Acat01G007170	EVM0023329
Acat01G007180	EVM0019495
Acat01G007190	EVM0003670
Acat01G007200	EVM0012427
Acat01G007210	EVM0034060
Acat01G007220	EVM0019079
Acat01G007230	EVM0003845
Acat01G007240	EVM0031978
Acat01G007250	EVM0005585
Acat01G007260	EVM0029316
Acat01G007270	EVM0021547
Acat01G007280	EVM0034816
Acat01G007290	EVM0024605
Acat01G007300	EVM0006210
Acat01G007310	EVM0028239
Acat01G007320	EVM0008841
Acat01G007330	EVM0028336
Acat01G007340	EVM0005723
Acat01G007350	EVM0026096
Acat01G007360	EVM0020957
Acat01G007370	EVM0007406
Acat01G007380	EVM0029168
Acat01G007390	EVM0014234
Acat01G007400	EVM0028325
Acat01G007410	EVM0027247
Acat01G007420	EVM0028200
Acat01G007430	EVM0024194
Acat01G007440	EVM0025206
Acat01G007450	EVM0023298
Acat01G007460	EVM0008497
Acat01G007470	EVM0025963
Acat01G007480	EVM0003749
Acat01G007490	EVM0013003
Acat01G007500	EVM0010928
Acat01G007510	EVM0016468
Acat01G007520	EVM0011713
Acat01G007530	EVM0012358
Acat01G007540	EVM0020370
Acat01G007550	EVM0028301
Acat01G007560	EVM0008941
Acat01G007570	EVM0027672
Acat01G007580	EVM0014041
Acat01G007590	EVM0026762
Acat01G007600	EVM0010240
Acat01G007610	EVM0012296
Acat01G007620	EVM0026534
Acat01G007630	EVM0015583
Acat01G007640	EVM0019115
Acat01G007650	EVM0005169
Acat01G007660	EVM0028404
Acat01G007670	EVM0031475
Acat01G007680	EVM0003854
Acat01G007690	EVM0030455
Acat01G007700	EVM0004406
Acat01G007710	EVM0012753
Acat01G007720	EVM0011206
Acat01G007730	EVM0014171
Acat01G007740	EVM0029179
Acat01G007750	EVM0017304
Acat01G007760	EVM0007781
Acat01G007770	EVM0007720
Acat01G007780	EVM0017889
Acat01G007790	EVM0003319
Acat01G007800	EVM0018526
Acat01G007810	EVM0005107
Acat01G007820	EVM0022762
Acat01G007830	EVM0017945
Acat01G007840	EVM0028455
Acat01G007850	EVM0031053
Acat01G007860	EVM0010640
Acat01G007870	EVM0019973
Acat01G007880	EVM0027543
Acat01G007890	EVM0011590
Acat01G007900	EVM0009866
Acat01G007910	EVM0011324
Acat01G007920	EVM0004736
Acat01G007930	EVM0023345
Acat01G007940	EVM0013691
Acat01G007950	EVM0031668
Acat01G007960	EVM0012681
Acat01G007970	EVM0000721
Acat01G007980	EVM0017764
Acat01G007990	EVM0029189
Acat01G008000	EVM0019409
Acat01G008010	EVM0013875
Acat01G008020	EVM0023100
Acat01G008030	EVM0005227
Acat01G008040	EVM0024143
Acat01G008050	EVM0031179
Acat01G008060	EVM0030947
Acat01G008070	EVM0021575
Acat01G008080	EVM0025875
Acat01G008090	EVM0024434
Acat01G008100	EVM0014126
Acat01G008110	EVM0025353
Acat01G008120	EVM0008102
Acat01G008130	EVM0029751
Acat01G008140	EVM0007934
Acat01G008150	EVM0016699
Acat01G008160	EVM0008600
Acat01G008170	EVM0018697
Acat01G008180	EVM0033683
Acat01G008190	EVM0006790
Acat01G008200	EVM0033824
Acat01G008210	EVM0034401
Acat01G008220	EVM0025536
Acat01G008230	EVM0025435
Acat01G008240	EVM0035182
Acat01G008250	EVM0003442
Acat01G008260	EVM0033400
Acat01G008270	EVM0016339
Acat01G008280	EVM0026989
Acat01G008290	EVM0007566
Acat01G008300	EVM0023090
Acat01G008310	EVM0025454
Acat01G008320	EVM0022557
Acat01G008330	EVM0003315
Acat01G008340	EVM0027279
Acat01G008350	EVM0028534
Acat01G008360	EVM0010373
Acat01G008370	EVM0031822
Acat01G008380	EVM0026378
Acat01G008390	EVM0002800
Acat01G008400	EVM0024917
Acat01G008410	EVM0014963
Acat01G008420	EVM0014294
Acat01G008430	EVM0028492
Acat01G008440	EVM0013323
Acat01G008450	EVM0020400
Acat01G008460	EVM0024961
Acat01G008470	EVM0027859
Acat01G008480	EVM0021082
Acat01G008490	EVM0009083
Acat01G008500	EVM0014016
Acat01G008510	EVM0016113
Acat01G008520	EVM0030872
Acat01G008530	EVM0021011
Acat01G008540	EVM0023175
Acat01G008550	EVM0029656
Acat01G008560	EVM0027175
Acat01G008570	EVM0008800
Acat01G008580	EVM0031440
Acat01G008590	EVM0021684
Acat01G008600	EVM0015349
Acat01G008610	EVM0026537
Acat01G008620	EVM0033030
Acat01G008630	EVM0002291
Acat01G008640	EVM0007946
Acat01G008650	EVM0009225
Acat01G008660	EVM0034587
Acat01G008670	EVM0017371
Acat01G008680	EVM0004138
Acat01G008690	EVM0002592
Acat01G008700	EVM0027380
Acat01G008710	EVM0027216
Acat01G008720	EVM0010089
Acat01G008730	EVM0012841
Acat01G008740	EVM0029104
Acat01G008750	EVM0007538
Acat01G008760	EVM0027020
Acat01G008770	EVM0018162
Acat01G008780	EVM0011695
Acat01G008790	EVM0020335
Acat01G008800	EVM0027193
Acat01G008810	EVM0001690
Acat01G008820	EVM0001646
Acat01G008830	EVM0026485
Acat01G008840	EVM0034840
Acat01G008850	EVM0028105
Acat01G008860	EVM0009555
Acat01G008870	EVM0012231
Acat01G008880	EVM0014206
Acat01G008890	EVM0021701
Acat01G008900	EVM0010482
Acat01G008910	EVM0013866
Acat01G008920	EVM0016738
Acat01G008930	EVM0018232
Acat01G008940	EVM0027946
Acat01G008950	EVM0005532
Acat01G008960	EVM0007356
Acat01G008970	EVM0018105
Acat01G008980	EVM0000139
Acat01G008990	EVM0017234
Acat01G009000	EVM0026908
Acat01G009010	EVM0003699
Acat01G009020	EVM0001373
Acat01G009030	EVM0019761
Acat01G009040	EVM0014505
Acat01G009050	EVM0013869
Acat01G009060	EVM0010932
Acat01G009070	EVM0015200
Acat01G009080	EVM0005941
Acat01G009090	EVM0020195
Acat01G009100	EVM0025141
Acat01G009110	EVM0018901
Acat01G009120	EVM0014784
Acat01G009130	EVM0012780
Acat01G009140	EVM0009213
Acat01G009150	EVM0033250
Acat01G009160	EVM0029128
Acat01G009170	EVM0018021
Acat01G009180	EVM0009096
Acat01G009190	EVM0004442
Acat01G009200	EVM0025265
Acat01G009210	EVM0023536
Acat01G009220	EVM0023142
Acat01G009230	EVM0034925
Acat01G009240	EVM0021528
Acat01G009250	EVM0009197
Acat01G009260	EVM0012569
Acat01G009270	EVM0021180
Acat01G009280	EVM0005329
Acat01G009290	EVM0017484
Acat01G009300	EVM0018434
Acat01G009310	EVM0026209
Acat01G009320	EVM0018718
