Ayan01G000010.1	Acyan01G0000100.1
Ayan01G002840.1	Acyan01G0028400.1
Ayan01G002850.1	Acyan01G0028500.1
Ayan01G002860.1	Acyan01G0028600.1
Ayan01G002870.1	Acyan01G0028700.1
Ayan01G002880.1	Acyan01G0028800.1
Ayan01G002890.1	Acyan01G0028900.1
Ayan01G002900.1	Acyan01G0029000.1
Ayan01G002910.1	Acyan01G0029100.1
Ayan01G002920.1	Acyan01G0029200.1
Ayan01G002930.1	Acyan01G0029300.1
Ayan01G002940.1	Acyan01G0029400.1
Ayan01G002950.1	Acyan01G0029500.1
Ayan01G002960.1	Acyan01G0029600.1
Ayan01G002970.1	Acyan01G0029700.1
Ayan01G002980.1	Acyan01G0029800.1
Ayan01G002990.1	Acyan01G0029900.1
Ayan01G003000.1	Acyan01G0030000.1
Ayan01G003010.1	Acyan01G0030100.1
Ayan01G003020.1	Acyan01G0030200.1
Ayan01G003030.1	Acyan01G0030300.1
Ayan01G003040.1	Acyan01G0030400.1
Ayan01G003050.1	Acyan01G0030500.1
Ayan01G003060.1	Acyan01G0030600.1
Ayan01G003070.1	Acyan01G0030700.1
Ayan01G003080.1	Acyan01G0030800.1
Ayan01G003090.1	Acyan01G0030900.1
Ayan01G003100.1	Acyan01G0031000.1
Ayan01G003110.1	Acyan01G0031100.1
Ayan01G003120.1	Acyan01G0031200.1
Ayan01G003130.1	Acyan01G0031300.1
Ayan01G003140.1	Acyan01G0031400.1
Ayan01G003150.1	Acyan01G0031500.1
Ayan01G003160.1	Acyan01G0031600.1
Ayan01G003170.1	Acyan01G0031700.1
Ayan01G003180.1	Acyan01G0031800.1
Ayan01G003190.1	Acyan01G0031900.1
Ayan01G003200.1	Acyan01G0032000.1
Ayan01G003210.1	Acyan01G0032100.1
Ayan01G003220.1	Acyan01G0032200.1
Ayan01G003230.1	Acyan01G0032300.1
Ayan01G003240.1	Acyan01G0032400.1
Ayan01G003250.1	Acyan01G0032500.1
Ayan01G003260.1	Acyan01G0032600.1
Ayan01G003270.1	Acyan01G0032700.1
Ayan01G003280.1	Acyan01G0032800.1
Ayan01G003290.1	Acyan01G0032900.1
Ayan01G003300.1	Acyan01G0033000.1
Ayan01G003310.1	Acyan01G0033100.1
Ayan01G003320.1	Acyan01G0033200.1
Ayan01G003330.1	Acyan01G0033300.1
Ayan01G003340.1	Acyan01G0033400.1
Ayan01G003350.1	Acyan01G0033500.1
Ayan01G003360.1	Acyan01G0033600.1
Ayan01G003370.1	Acyan01G0033700.1
Ayan01G003380.1	Acyan01G0033800.1
Ayan01G003390.1	Acyan01G0033900.1
Ayan01G003400.1	Acyan01G0034000.1
Ayan01G003410.1	Acyan01G0034100.1
Ayan01G003420.1	Acyan01G0034200.1
Ayan01G003430.1	Acyan01G0034300.1
Ayan01G003440.1	Acyan01G0034400.1
Ayan01G003450.1	Acyan01G0034500.1
Ayan01G003460.1	Acyan01G0034600.1
Ayan01G003470.1	Acyan01G0034700.1
Ayan01G003480.1	Acyan01G0034800.1
Ayan01G003490.1	Acyan01G0034900.1
Ayan01G003500.1	Acyan01G0035000.1
Ayan01G003510.1	Acyan01G0035100.1
Ayan01G003520.1	Acyan01G0035200.1
Ayan01G003530.1	Acyan01G0035300.1
Ayan01G003540.1	Acyan01G0035400.1
Ayan01G003550.1	Acyan01G0035500.1
Ayan01G003560.1	Acyan01G0035600.1
Ayan01G003570.1	Acyan01G0035700.1
Ayan01G003580.1	Acyan01G0035800.1
Ayan01G003590.1	Acyan01G0035900.1
Ayan01G003600.1	Acyan01G0036000.1
Ayan01G003610.1	Acyan01G0036100.1
Ayan01G003620.1	Acyan01G0036200.1
Ayan01G003630.1	Acyan01G0036300.1
Ayan01G003640.1	Acyan01G0036400.1
Ayan01G003650.1	Acyan01G0036500.1
Ayan01G003660.1	Acyan01G0036600.1
Ayan01G003670.1	Acyan01G0036700.1
Ayan01G003680.1	Acyan01G0036800.1
Ayan01G003690.1	Acyan01G0036900.1
Ayan01G003700.1	Acyan01G0037000.1
Ayan01G003710.1	Acyan01G0037100.1
Ayan01G003720.1	Acyan01G0037200.1
Ayan01G003730.1	Acyan01G0037300.1
Ayan01G003740.1	Acyan01G0037400.1
Ayan01G003750.1	Acyan01G0037500.1
Ayan01G003760.1	Acyan01G0037600.1
Ayan01G003770.1	Acyan01G0037700.1
Ayan01G003780.1	Acyan01G0037800.1
Ayan01G003790.1	Acyan01G0037900.1
Ayan01G003800.1	Acyan01G0038000.1
Ayan01G003810.1	Acyan01G0038100.1
Ayan01G003820.1	Acyan01G0038200.1
Ayan01G003830.1	Acyan01G0038300.1
Ayan01G003840.1	Acyan01G0038400.1
Ayan01G003850.1	Acyan01G0038500.1
Ayan01G003860.1	Acyan01G0038600.1
Ayan01G003870.1	Acyan01G0038700.1
Ayan01G003880.1	Acyan01G0038800.1
Ayan01G003890.1	Acyan01G0038900.1
Ayan01G003900.1	Acyan01G0039000.1
Ayan01G003910.1	Acyan01G0039100.1
Ayan01G003920.1	Acyan01G0039200.1
Ayan01G003930.1	Acyan01G0039300.1
Ayan01G003940.1	Acyan01G0039400.1
Ayan01G003950.1	Acyan01G0039500.1
Ayan01G003960.1	Acyan01G0039600.1
Ayan01G003970.1	Acyan01G0039700.1
Ayan01G003980.1	Acyan01G0039800.1
Ayan01G003990.1	Acyan01G0039900.1
Ayan01G004000.1	Acyan01G0040000.1
Ayan01G004010.1	Acyan01G0040100.1
Ayan01G004020.1	Acyan01G0040200.1
Ayan01G004030.1	Acyan01G0040300.1
Ayan01G004040.1	Acyan01G0040400.1
Ayan01G004050.1	Acyan01G0040500.1
Ayan01G004060.1	Acyan01G0040600.1
Ayan01G004070.1	Acyan01G0040700.1
Ayan01G004080.1	Acyan01G0040800.1
Ayan01G004090.1	Acyan01G0040900.1
Ayan01G004100.1	Acyan01G0041000.1
Ayan01G004110.1	Acyan01G0041100.1
Ayan01G004120.1	Acyan01G0041200.1
Ayan01G004130.1	Acyan01G0041300.1
Ayan01G004140.1	Acyan01G0041400.1
Ayan01G004150.1	Acyan01G0041500.1
Ayan01G004160.1	Acyan01G0041600.1
Ayan01G004170.1	Acyan01G0041700.1
Ayan01G004180.1	Acyan01G0041800.1
Ayan01G004190.1	Acyan01G0041900.1
Ayan01G004200.1	Acyan01G0042000.1
Ayan01G004210.1	Acyan01G0042100.1
Ayan01G004220.1	Acyan01G0042200.1
Ayan01G004230.1	Acyan01G0042300.1
Ayan01G004240.1	Acyan01G0042400.1
Ayan01G004250.1	Acyan01G0042500.1
Ayan01G004260.1	Acyan01G0042600.1
Ayan01G004270.1	Acyan01G0042700.1
Ayan01G004280.1	Acyan01G0042800.1
Ayan01G004290.1	Acyan01G0042900.1
Ayan01G004300.1	Acyan01G0043000.1
Ayan01G004310.1	Acyan01G0043100.1
Ayan01G004320.1	Acyan01G0043200.1
Ayan01G004330.1	Acyan01G0043300.1
Ayan01G004340.1	Acyan01G0043400.1
Ayan01G004350.1	Acyan01G0043500.1
Ayan01G004360.1	Acyan01G0043600.1
Ayan01G004370.1	Acyan01G0043700.1
Ayan01G004380.1	Acyan01G0043800.1
Ayan01G004390.1	Acyan01G0043900.1
Ayan01G004400.1	Acyan01G0044000.1
Ayan01G004410.1	Acyan01G0044100.1
Ayan01G004420.1	Acyan01G0044200.1
Ayan01G004430.1	Acyan01G0044300.1
Ayan01G004440.1	Acyan01G0044400.1
Ayan01G004450.1	Acyan01G0044500.1
Ayan01G004460.1	Acyan01G0044600.1
Ayan01G004470.1	Acyan01G0044700.1
Ayan01G004480.1	Acyan01G0044800.1
Ayan01G004490.1	Acyan01G0044900.1
Ayan01G004500.1	Acyan01G0045000.1
Ayan01G004510.1	Acyan01G0045100.1
Ayan01G004520.1	Acyan01G0045200.1
Ayan01G004530.1	Acyan01G0045300.1
Ayan01G004540.1	Acyan01G0045400.1
Ayan01G004550.1	Acyan01G0045500.1
Ayan01G004560.1	Acyan01G0045600.1
Ayan01G004570.1	Acyan01G0045700.1
Ayan01G004580.1	Acyan01G0045800.1
Ayan01G004590.1	Acyan01G0045900.1
Ayan01G004600.1	Acyan01G0046000.1
Ayan01G004610.1	Acyan01G0046100.1
Ayan01G004620.1	Acyan01G0046200.1
Ayan01G004630.1	Acyan01G0046300.1
Ayan01G004640.1	Acyan01G0046400.1
Ayan01G004650.1	Acyan01G0046500.1
Ayan01G004660.1	Acyan01G0046600.1
Ayan01G004670.1	Acyan01G0046700.1
Ayan01G004680.1	Acyan01G0046800.1
Ayan01G004690.1	Acyan01G0046900.1
Ayan01G004700.1	Acyan01G0047000.1
Ayan01G004710.1	Acyan01G0047100.1
Ayan01G004720.1	Acyan01G0047200.1
Ayan01G004730.1	Acyan01G0047300.1
Ayan01G004740.1	Acyan01G0047400.1
Ayan01G004750.1	Acyan01G0047500.1
Ayan01G004760.1	Acyan01G0047600.1
Ayan01G004770.1	Acyan01G0047700.1
Ayan01G004780.1	Acyan01G0047800.1
Ayan01G004790.1	Acyan01G0047900.1
Ayan01G004800.1	Acyan01G0048000.1
Ayan01G004810.1	Acyan01G0048100.1
Ayan01G004820.1	Acyan01G0048200.1
Ayan01G004830.1	Acyan01G0048300.1
Ayan01G004840.1	Acyan01G0048400.1
Ayan01G004850.1	Acyan01G0048500.1
Ayan01G004860.1	Acyan01G0048600.1
Ayan01G004870.1	Acyan01G0048700.1
Ayan01G004880.1	Acyan01G0048800.1
Ayan01G004890.1	Acyan01G0048900.1
Ayan01G004900.1	Acyan01G0049000.1
Ayan01G004910.1	Acyan01G0049100.1
Ayan01G004920.1	Acyan01G0049200.1
Ayan01G004930.1	Acyan01G0049300.1
Ayan01G004940.1	Acyan01G0049400.1
Ayan01G004950.1	Acyan01G0049500.1
Ayan01G004960.1	Acyan01G0049600.1
Ayan01G004970.1	Acyan01G0049700.1
Ayan01G004980.1	Acyan01G0049800.1
Ayan01G004990.1	Acyan01G0049900.1
Ayan01G005000.1	Acyan01G0050000.1
Ayan01G005010.1	Acyan01G0050100.1
Ayan01G005020.1	Acyan01G0050200.1
Ayan01G005030.1	Acyan01G0050300.1
Ayan01G005040.1	Acyan01G0050400.1
Ayan01G005050.1	Acyan01G0050500.1
Ayan01G005060.1	Acyan01G0050600.1
Ayan01G005070.1	Acyan01G0050700.1
Ayan01G005080.1	Acyan01G0050800.1
Ayan01G005090.1	Acyan01G0050900.1
Ayan01G005100.1	Acyan01G0051000.1
Ayan01G005110.1	Acyan01G0051100.1
Ayan01G005120.1	Acyan01G0051200.1
Ayan01G005130.1	Acyan01G0051300.1
Ayan01G005140.1	Acyan01G0051400.1
Ayan01G005150.1	Acyan01G0051500.1
Ayan01G005160.1	Acyan01G0051600.1
Ayan01G005170.1	Acyan01G0051700.1
Ayan01G005180.1	Acyan01G0051800.1
Ayan01G005190.1	Acyan01G0051900.1
Ayan01G005200.1	Acyan01G0052000.1
Ayan01G005210.1	Acyan01G0052100.1
Ayan01G005220.1	Acyan01G0052200.1
Ayan01G005230.1	Acyan01G0052300.1
Ayan01G005240.1	Acyan01G0052400.1
Ayan01G005250.1	Acyan01G0052500.1
Ayan01G005260.1	Acyan01G0052600.1
Ayan01G005270.1	Acyan01G0052700.1
Ayan01G005280.1	Acyan01G0052800.1
Ayan01G005290.1	Acyan01G0052900.1
Ayan01G005300.1	Acyan01G0053000.1
Ayan01G005310.1	Acyan01G0053100.1
Ayan01G005320.1	Acyan01G0053200.1
Ayan01G005330.1	Acyan01G0053300.1
Ayan01G005340.1	Acyan01G0053400.1
Ayan01G005350.1	Acyan01G0053500.1
Ayan01G005360.1	Acyan01G0053600.1
Ayan01G005370.1	Acyan01G0053700.1
Ayan01G005380.1	Acyan01G0053800.1
Ayan01G005390.1	Acyan01G0053900.1
Ayan01G005400.1	Acyan01G0054000.1
Ayan01G005410.1	Acyan01G0054100.1
Ayan01G005420.1	Acyan01G0054200.1
Ayan01G005430.1	Acyan01G0054300.1
Ayan01G005440.1	Acyan01G0054400.1
Ayan01G005450.1	Acyan01G0054500.1
Ayan01G005460.1	Acyan01G0054600.1
Ayan01G005470.1	Acyan01G0054700.1
Ayan01G005480.1	Acyan01G0054800.1
Ayan01G005490.1	Acyan01G0054900.1
Ayan01G005500.1	Acyan01G0055000.1
Ayan01G005510.1	Acyan01G0055100.1
Ayan01G005520.1	Acyan01G0055200.1
Ayan01G005530.1	Acyan01G0055300.1
Ayan01G005540.1	Acyan01G0055400.1
Ayan01G005550.1	Acyan01G0055500.1
Ayan01G005560.1	Acyan01G0055600.1
Ayan01G005570.1	Acyan01G0055700.1
Ayan01G005580.1	Acyan01G0055800.1
Ayan01G005590.1	Acyan01G0055900.1
Ayan01G005600.1	Acyan01G0056000.1
Ayan01G005610.1	Acyan01G0056100.1
Ayan01G005620.1	Acyan01G0056200.1
Ayan01G005630.1	Acyan01G0056300.1
Ayan01G005640.1	Acyan01G0056400.1
Ayan01G005650.1	Acyan01G0056500.1
Ayan01G005660.1	Acyan01G0056600.1
Ayan01G005670.1	Acyan01G0056700.1
Ayan01G005680.1	Acyan01G0056800.1
Ayan01G005690.1	Acyan01G0056900.1
Ayan01G005700.1	Acyan01G0057000.1
Ayan01G005710.1	Acyan01G0057100.1
Ayan01G005720.1	Acyan01G0057200.1
Ayan01G005730.1	Acyan01G0057300.1
Ayan01G005740.1	Acyan01G0057400.1
Ayan01G005750.1	Acyan01G0057500.1
Ayan01G005760.1	Acyan01G0057600.1
Ayan01G005770.1	Acyan01G0057700.1
Ayan01G005780.1	Acyan01G0057800.1
Ayan01G005790.1	Acyan01G0057900.1
Ayan01G005800.1	Acyan01G0058000.1
Ayan01G005810.1	Acyan01G0058100.1
Ayan01G005820.1	Acyan01G0058200.1
Ayan01G005830.1	Acyan01G0058300.1
Ayan01G005840.1	Acyan01G0058400.1
Ayan01G005850.1	Acyan01G0058500.1
Ayan01G005860.1	Acyan01G0058600.1
Ayan01G005870.1	Acyan01G0058700.1
Ayan01G005880.1	Acyan01G0058800.1
Ayan01G005890.1	Acyan01G0058900.1
Ayan01G005900.1	Acyan01G0059000.1
Ayan01G005910.1	Acyan01G0059100.1
Ayan01G005920.1	Acyan01G0059200.1
Ayan01G005930.1	Acyan01G0059300.1
Ayan01G005940.1	Acyan01G0059400.1
Ayan01G005950.1	Acyan01G0059500.1
Ayan01G005960.1	Acyan01G0059600.1
Ayan01G005970.1	Acyan01G0059700.1
Ayan01G005980.1	Acyan01G0059800.1
Ayan01G005990.1	Acyan01G0059900.1
Ayan01G006000.1	Acyan01G0060000.1
Ayan01G006010.1	Acyan01G0060100.1
Ayan01G006020.1	Acyan01G0060200.1
Ayan01G006030.1	Acyan01G0060300.1
Ayan01G006040.1	Acyan01G0060400.1
Ayan01G006050.1	Acyan01G0060500.1
Ayan01G006060.1	Acyan01G0060600.1
Ayan01G006070.1	Acyan01G0060700.1
