Apse01G000010.1	GWHTBECT000001
Apse01G000930.1	GWHTBECT000105
Apse01G000940.1	GWHTBECT000106
Apse01G000950.1	GWHTBECT000107
Apse01G000960.1	GWHTBECT000108
Apse01G000970.1	GWHTBECT000109
Apse01G000980.1	GWHTBECT000110
Apse01G000990.1	GWHTBECT000111
Apse01G001000.1	GWHTBECT000112
Apse01G001010.1	GWHTBECT000113
Apse01G001020.1	GWHTBECT000114
Apse01G001030.1	GWHTBECT000115
Apse01G001040.1	GWHTBECT000116
Apse01G001050.1	GWHTBECT000117
Apse01G001060.1	GWHTBECT000118
Apse01G001070.1	GWHTBECT000119
Apse01G001080.1	GWHTBECT000120
Apse01G001090.1	GWHTBECT000121
Apse01G001100.1	GWHTBECT000122
Apse01G001110.1	GWHTBECT000123
Apse01G001120.1	GWHTBECT000124
Apse01G001130.1	GWHTBECT000125
Apse01G001140.1	GWHTBECT000126
Apse01G001150.1	GWHTBECT000127
Apse01G001160.1	GWHTBECT000128
Apse01G001170.1	GWHTBECT000129
Apse01G001180.1	GWHTBECT000130
Apse01G001190.1	GWHTBECT000131
Apse01G001200.1	GWHTBECT000132
Apse01G001200.2	GWHTBECT000133
Apse01G001210.1	GWHTBECT000134
Apse01G001220.1	GWHTBECT000135
Apse01G001230.1	GWHTBECT000136
Apse01G001240.1	GWHTBECT000137
Apse01G001250.1	GWHTBECT000138
Apse01G001260.1	GWHTBECT000139
Apse01G001270.1	GWHTBECT000140
Apse01G001280.1	GWHTBECT000141
Apse01G001290.1	GWHTBECT000142
Apse01G001300.1	GWHTBECT000143
Apse01G001310.1	GWHTBECT000144
Apse01G001320.1	GWHTBECT000145
Apse01G001330.1	GWHTBECT000146
Apse01G001340.1	GWHTBECT000147
Apse01G001350.1	GWHTBECT000148
Apse01G001360.1	GWHTBECT000149
Apse01G001360.2	GWHTBECT000150
Apse01G001370.1	GWHTBECT000151
Apse01G001380.1	GWHTBECT000152
Apse01G001390.1	GWHTBECT000153
Apse01G001400.1	GWHTBECT000154
Apse01G001410.1	GWHTBECT000155
Apse01G001420.1	GWHTBECT000156
Apse01G001430.1	GWHTBECT000157
Apse01G001440.1	GWHTBECT000158
Apse01G001450.1	GWHTBECT000159
Apse01G001460.1	GWHTBECT000160
Apse01G001470.1	GWHTBECT000161
Apse01G001480.1	GWHTBECT000162
Apse01G001490.1	GWHTBECT000163
Apse01G001500.1	GWHTBECT000164
Apse01G001510.1	GWHTBECT000165
Apse01G001520.1	GWHTBECT000166
Apse01G001530.1	GWHTBECT000167
Apse01G001540.1	GWHTBECT000168
Apse01G001550.1	GWHTBECT000169
Apse01G001560.1	GWHTBECT000170
Apse01G001570.1	GWHTBECT000171
Apse01G001580.1	GWHTBECT000172
Apse01G001590.1	GWHTBECT000173
Apse01G001600.1	GWHTBECT000174
Apse01G001610.1	GWHTBECT000175
Apse01G001620.1	GWHTBECT000176
Apse01G001630.1	GWHTBECT000177
Apse01G001640.1	GWHTBECT000178
Apse01G001650.1	GWHTBECT000179
Apse01G001660.1	GWHTBECT000180
Apse01G001670.1	GWHTBECT000181
Apse01G001680.1	GWHTBECT000182
Apse01G001690.1	GWHTBECT000183
Apse01G001700.1	GWHTBECT000184
Apse01G001710.1	GWHTBECT000185
Apse01G001720.1	GWHTBECT000186
Apse01G001730.1	GWHTBECT000187
Apse01G001730.2	GWHTBECT000188
Apse01G001740.1	GWHTBECT000189
Apse01G001750.1	GWHTBECT000190
Apse01G001760.1	GWHTBECT000191
Apse01G001770.1	GWHTBECT000192
Apse01G001780.1	GWHTBECT000193
Apse01G001790.1	GWHTBECT000194
Apse01G001800.1	GWHTBECT000195
Apse01G001810.1	GWHTBECT000196
Apse01G001820.1	GWHTBECT000197
Apse01G001830.1	GWHTBECT000198
Apse01G001840.1	GWHTBECT000199
Apse01G001850.1	GWHTBECT000200
Apse01G001860.1	GWHTBECT000201
Apse01G001870.1	GWHTBECT000202
Apse01G001880.1	GWHTBECT000203
Apse01G001890.1	GWHTBECT000204
Apse01G001900.1	GWHTBECT000205
Apse01G001900.2	GWHTBECT000206
Apse01G001900.3	GWHTBECT000207
Apse01G001910.1	GWHTBECT000208
Apse01G001920.1	GWHTBECT000209
Apse01G001930.1	GWHTBECT000210
Apse01G001940.1	GWHTBECT000211
Apse01G001950.1	GWHTBECT000212
Apse01G001960.1	GWHTBECT000213
Apse01G001970.1	GWHTBECT000214
Apse01G001980.1	GWHTBECT000215
Apse01G001990.1	GWHTBECT000216
Apse01G002000.1	GWHTBECT000217
Apse01G002010.1	GWHTBECT000218
Apse01G002020.1	GWHTBECT000219
Apse01G002020.2	GWHTBECT000220
Apse01G002030.1	GWHTBECT000221
Apse01G002040.1	GWHTBECT000222
Apse01G002050.1	GWHTBECT000223
Apse01G002060.1	GWHTBECT000224
Apse01G002070.1	GWHTBECT000225
Apse01G002080.1	GWHTBECT000226
Apse01G002090.1	GWHTBECT000227
Apse01G002100.1	GWHTBECT000228
Apse01G002110.1	GWHTBECT000229
Apse01G002120.1	GWHTBECT000230
Apse01G002130.1	GWHTBECT000231
Apse01G002130.2	GWHTBECT000232
Apse01G002140.1	GWHTBECT000233
Apse01G002150.1	GWHTBECT000234
Apse01G002160.1	GWHTBECT000235
Apse01G002170.1	GWHTBECT000236
Apse01G002180.1	GWHTBECT000237
Apse01G002190.1	GWHTBECT000238
Apse01G002200.1	GWHTBECT000239
Apse01G002210.1	GWHTBECT000240
Apse01G002220.1	GWHTBECT000241
Apse01G002230.1	GWHTBECT000242
Apse01G002240.1	GWHTBECT000243
Apse01G002250.1	GWHTBECT000244
Apse01G002260.1	GWHTBECT000245
Apse01G002270.1	GWHTBECT000246
Apse01G002280.1	GWHTBECT000247
Apse01G002290.1	GWHTBECT000248
Apse01G002300.1	GWHTBECT000249
Apse01G002310.1	GWHTBECT000250
Apse01G002320.1	GWHTBECT000251
Apse01G002330.1	GWHTBECT000252
Apse01G002340.1	GWHTBECT000253
Apse01G002350.1	GWHTBECT000254
Apse01G002360.1	GWHTBECT000255
Apse01G002370.1	GWHTBECT000256
Apse01G002380.1	GWHTBECT000257
Apse01G002390.1	GWHTBECT000258
Apse01G002400.1	GWHTBECT000259
Apse01G002410.1	GWHTBECT000260
Apse01G002420.1	GWHTBECT000261
Apse01G002420.2	GWHTBECT000262
Apse01G002430.1	GWHTBECT000263
Apse01G002440.1	GWHTBECT000264
Apse01G002450.1	GWHTBECT000265
Apse01G002460.1	GWHTBECT000266
Apse01G002470.1	GWHTBECT000267
Apse01G002480.1	GWHTBECT000268
Apse01G002480.2	GWHTBECT000269
Apse01G002480.3	GWHTBECT000270
Apse01G002490.1	GWHTBECT000271
Apse01G002500.1	GWHTBECT000272
Apse01G002510.1	GWHTBECT000273
Apse01G002520.1	GWHTBECT000274
Apse01G002530.1	GWHTBECT000275
Apse01G002540.1	GWHTBECT000276
Apse01G002550.1	GWHTBECT000277
Apse01G002560.1	GWHTBECT000278
Apse01G002570.1	GWHTBECT000279
Apse01G002580.1	GWHTBECT000280
Apse01G002590.1	GWHTBECT000281
Apse01G002600.1	GWHTBECT000282
Apse01G002610.1	GWHTBECT000283
Apse01G002620.1	GWHTBECT000284
Apse01G002630.1	GWHTBECT000285
Apse01G002640.1	GWHTBECT000286
Apse01G002650.1	GWHTBECT000287
Apse01G002660.1	GWHTBECT000288
Apse01G002670.1	GWHTBECT000289
Apse01G002680.1	GWHTBECT000290
Apse01G002690.1	GWHTBECT000291
Apse01G002700.1	GWHTBECT000292
Apse01G002700.2	GWHTBECT000293
Apse01G002710.1	GWHTBECT000294
Apse01G002720.1	GWHTBECT000295
Apse01G002730.1	GWHTBECT000296
Apse01G002740.1	GWHTBECT000297
Apse01G002740.2	GWHTBECT000298
Apse01G002750.1	GWHTBECT000299
Apse01G002750.2	GWHTBECT000300
Apse01G002760.1	GWHTBECT000301
Apse01G002770.1	GWHTBECT000302
Apse01G002780.1	GWHTBECT000303
Apse01G002790.1	GWHTBECT000304
Apse01G002800.1	GWHTBECT000305
Apse01G002810.1	GWHTBECT000306
Apse01G002820.1	GWHTBECT000307
Apse01G002830.1	GWHTBECT000308
Apse01G002840.1	GWHTBECT000309
Apse01G002850.1	GWHTBECT000310
Apse01G002860.1	GWHTBECT000311
Apse01G002870.1	GWHTBECT000312
Apse01G002880.1	GWHTBECT000313
Apse01G002890.1	GWHTBECT000314
Apse01G002900.1	GWHTBECT000315
Apse01G002910.1	GWHTBECT000316
Apse01G002920.1	GWHTBECT000317
Apse01G002930.1	GWHTBECT000318
Apse01G002940.1	GWHTBECT000319
Apse01G002950.1	GWHTBECT000320
Apse01G002960.1	GWHTBECT000321
Apse01G002970.1	GWHTBECT000322
Apse01G002980.1	GWHTBECT000323
Apse01G002990.1	GWHTBECT000324
Apse01G003000.1	GWHTBECT000325
Apse01G003010.1	GWHTBECT000326
Apse01G003020.1	GWHTBECT000327
Apse01G003030.1	GWHTBECT000328
Apse01G003040.1	GWHTBECT000329
Apse01G003050.1	GWHTBECT000330
Apse01G003060.1	GWHTBECT000331
Apse01G003070.1	GWHTBECT000332
Apse01G003080.1	GWHTBECT000333
Apse01G003090.1	GWHTBECT000334
Apse01G003100.1	GWHTBECT000335
Apse01G003110.1	GWHTBECT000336
Apse01G003120.1	GWHTBECT000337
Apse01G003130.1	GWHTBECT000338
Apse01G003140.1	GWHTBECT000339
Apse01G003150.1	GWHTBECT000340
Apse01G003160.1	GWHTBECT000341
Apse01G003170.1	GWHTBECT000342
Apse01G003180.1	GWHTBECT000343
Apse01G003180.2	GWHTBECT000344
Apse01G003190.1	GWHTBECT000345
Apse01G003200.1	GWHTBECT000346
Apse01G003210.1	GWHTBECT000347
Apse01G003220.1	GWHTBECT000348
Apse01G003230.1	GWHTBECT000349
Apse01G003240.1	GWHTBECT000350
Apse01G003250.1	GWHTBECT000351
Apse01G003260.1	GWHTBECT000352
Apse01G003270.1	GWHTBECT000353
Apse01G003280.1	GWHTBECT000354
Apse01G003280.2	GWHTBECT000355
Apse01G003290.1	GWHTBECT000356
Apse01G003300.1	GWHTBECT000357
Apse01G003310.1	GWHTBECT000358
Apse01G003320.1	GWHTBECT000359
Apse01G003330.1	GWHTBECT000360
Apse01G003340.1	GWHTBECT000361
Apse01G003350.1	GWHTBECT000362
Apse01G003360.1	GWHTBECT000363
Apse01G003370.1	GWHTBECT000364
Apse01G003380.1	GWHTBECT000365
Apse01G003380.2	GWHTBECT000366
Apse01G003380.3	GWHTBECT000367
Apse01G003390.1	GWHTBECT000368
Apse01G003400.1	GWHTBECT000369
Apse01G003410.1	GWHTBECT000370
Apse01G003420.1	GWHTBECT000371
Apse01G003430.1	GWHTBECT000372
Apse01G003440.1	GWHTBECT000373
Apse01G003450.1	GWHTBECT000374
Apse01G003460.1	GWHTBECT000375
Apse01G003470.1	GWHTBECT000376
Apse01G003480.1	GWHTBECT000377
Apse01G003490.1	GWHTBECT000378
Apse01G003500.1	GWHTBECT000379
Apse01G003510.1	GWHTBECT000380
Apse01G003520.1	GWHTBECT000381
Apse01G003530.1	GWHTBECT000382
Apse01G003540.1	GWHTBECT000383
Apse01G003550.1	GWHTBECT000384
Apse01G003560.1	GWHTBECT000385
Apse01G003570.1	GWHTBECT000386
Apse01G003580.1	GWHTBECT000387
Apse01G003590.1	GWHTBECT000388
Apse01G003600.1	GWHTBECT000389
Apse01G003610.1	GWHTBECT000390
Apse01G003620.1	GWHTBECT000391
Apse01G003630.1	GWHTBECT000392
Apse01G003640.1	GWHTBECT000393
Apse01G003650.1	GWHTBECT000394
Apse01G003660.1	GWHTBECT000395
Apse01G003670.1	GWHTBECT000396
Apse01G003680.1	GWHTBECT000397
Apse01G003690.1	GWHTBECT000398
Apse01G003700.1	GWHTBECT000399
Apse01G003710.1	GWHTBECT000400
Apse01G003720.1	GWHTBECT000401
Apse01G003730.1	GWHTBECT000402
Apse01G003740.1	GWHTBECT000403
Apse01G003750.1	GWHTBECT000404
Apse01G003760.1	GWHTBECT000405
Apse01G003770.1	GWHTBECT000406
Apse01G003780.1	GWHTBECT000407
Apse01G003780.2	GWHTBECT000408
Apse01G003790.1	GWHTBECT000409
Apse01G003800.1	GWHTBECT000410
Apse01G003810.1	GWHTBECT000411
Apse01G003820.1	GWHTBECT000412
Apse01G003830.1	GWHTBECT000413
Apse01G003840.1	GWHTBECT000414
Apse01G003850.1	GWHTBECT000415
Apse01G003860.1	GWHTBECT000416
Apse01G003870.1	GWHTBECT000417
Apse01G003880.1	GWHTBECT000418
Apse01G003890.1	GWHTBECT000419
Apse01G003900.1	GWHTBECT000420
Apse01G003910.1	GWHTBECT000421
Apse01G003920.1	GWHTBECT000422
Apse01G003930.1	GWHTBECT000423
Apse01G003940.1	GWHTBECT000424
Apse01G003950.1	GWHTBECT000425
Apse01G003960.1	GWHTBECT000426
Apse01G003970.1	GWHTBECT000427
Apse01G003980.1	GWHTBECT000428
Apse01G003980.2	GWHTBECT000429
Apse01G003990.1	GWHTBECT000430
Apse01G004000.1	GWHTBECT000431
Apse01G004010.1	GWHTBECT000432
Apse01G004020.1	GWHTBECT000433
Apse01G004020.2	GWHTBECT000434
Apse01G004020.3	GWHTBECT000435
Apse01G004020.4	GWHTBECT000436
Apse01G004030.1	GWHTBECT000437
Apse01G004040.1	GWHTBECT000438
Apse01G004050.1	GWHTBECT000439
Apse01G004060.1	GWHTBECT000440
Apse01G004070.1	GWHTBECT000441
Apse01G004080.1	GWHTBECT000442
Apse01G004080.2	GWHTBECT000443
Apse01G004090.1	GWHTBECT000444
Apse01G004100.1	GWHTBECT000445
Apse01G004110.1	GWHTBECT000446
Apse01G004120.1	GWHTBECT000447
Apse01G004130.1	GWHTBECT000448
Apse01G004140.1	GWHTBECT000449
Apse01G004150.1	GWHTBECT000450
Apse01G004160.1	GWHTBECT000451
Apse01G004170.1	GWHTBECT000452
Apse01G004180.1	GWHTBECT000453
Apse01G004190.1	GWHTBECT000454
Apse01G004200.1	GWHTBECT000455
Apse01G004210.1	GWHTBECT000456
Apse01G004220.1	GWHTBECT000457
Apse01G004230.1	GWHTBECT000458
Apse01G004240.1	GWHTBECT000459
Apse01G004250.1	GWHTBECT000460
Apse01G004260.1	GWHTBECT000461
Apse01G004270.1	GWHTBECT000462
Apse01G004280.1	GWHTBECT000463
Apse01G004290.1	GWHTBECT000464
Apse01G004300.1	GWHTBECT000465
Apse01G004310.1	GWHTBECT000466
Apse01G004320.1	GWHTBECT000467
Apse01G004330.1	GWHTBECT000468
Apse01G004340.1	GWHTBECT000469
Apse01G004350.1	GWHTBECT000470
Apse01G004360.1	GWHTBECT000471
Apse01G004370.1	GWHTBECT000472
Apse01G004370.2	GWHTBECT000473
Apse01G004380.1	GWHTBECT000474
Apse01G004390.1	GWHTBECT000475
Apse01G004400.1	GWHTBECT000476
Apse01G004410.1	GWHTBECT000477
Apse01G004420.1	GWHTBECT000478
Apse01G004430.1	GWHTBECT000479
Apse01G004440.1	GWHTBECT000480
Apse01G004450.1	GWHTBECT000481
Apse01G004460.1	GWHTBECT000482
Apse01G004470.1	GWHTBECT000483
Apse01G004480.1	GWHTBECT000484
Apse01G004490.1	GWHTBECT000485
Apse01G004500.1	GWHTBECT000486
Apse01G004510.1	GWHTBECT000487
Apse01G004520.1	GWHTBECT000488
Apse01G004530.1	GWHTBECT000489
Apse01G004540.1	GWHTBECT000490
Apse01G004550.1	GWHTBECT000491
Apse01G004560.1	GWHTBECT000492
Apse01G004570.1	GWHTBECT000493
Apse01G004580.1	GWHTBECT000494
Apse01G004590.1	GWHTBECT000495
Apse01G004600.1	GWHTBECT000496
Apse01G004610.1	GWHTBECT000497
Apse01G004620.1	GWHTBECT000498
Apse01G004630.1	GWHTBECT000499
Apse01G004640.1	GWHTBECT000500
Apse01G004650.1	GWHTBECT000501
Apse01G004660.1	GWHTBECT000502
Apse01G004670.1	GWHTBECT000503
Apse01G004670.2	GWHTBECT000504
Apse01G004680.1	GWHTBECT000505
Apse01G004690.1	GWHTBECT000506
Apse01G004700.1	GWHTBECT000507
Apse01G004700.2	GWHTBECT000508
Apse01G004710.1	GWHTBECT000509
Apse01G004720.1	GWHTBECT000510
Apse01G004730.1	GWHTBECT000511
Apse01G004730.2	GWHTBECT000512
Apse01G004730.3	GWHTBECT000513
Apse01G004730.4	GWHTBECT000514
Apse01G004740.1	GWHTBECT000515
Apse01G004750.1	GWHTBECT000516
Apse01G004760.1	GWHTBECT000517
Apse01G004770.1	GWHTBECT000518
Apse01G004780.1	GWHTBECT000519
Apse01G004790.1	GWHTBECT000520
Apse01G004800.1	GWHTBECT000521
Apse01G004810.1	GWHTBECT000522
Apse01G004820.1	GWHTBECT000523
Apse01G004830.1	GWHTBECT000524
Apse01G004840.1	GWHTBECT000525
Apse01G004850.1	GWHTBECT000526
Apse01G004860.1	GWHTBECT000527
Apse01G004860.2	GWHTBECT000528
Apse01G004860.3	GWHTBECT000529
Apse01G004870.1	GWHTBECT000530
Apse01G004870.2	GWHTBECT000531
Apse01G004880.1	GWHTBECT000532
Apse01G004890.1	GWHTBECT000533
Apse01G004900.1	GWHTBECT000534
Apse01G004900.2	GWHTBECT000535
Apse01G004910.1	GWHTBECT000536
Apse01G004920.1	GWHTBECT000537
Apse01G004930.1	GWHTBECT000538
Apse01G004940.1	GWHTBECT000539
Apse01G004950.1	GWHTBECT000540
Apse01G004960.1	GWHTBECT000541
Apse01G004960.2	GWHTBECT000542
Apse01G004970.1	GWHTBECT000543
Apse01G004980.1	GWHTBECT000544
Apse01G004990.1	GWHTBECT000545
Apse01G005000.1	GWHTBECT000546
Apse01G005010.1	GWHTBECT000547
Apse01G005020.1	GWHTBECT000548
Apse01G005030.1	GWHTBECT000549
Apse01G005040.1	GWHTBECT000550
Apse01G005050.1	GWHTBECT000551
Apse01G005060.1	GWHTBECT000552
Apse01G005070.1	GWHTBECT000553
Apse01G005080.1	GWHTBECT000554
Apse01G005090.1	GWHTBECT000555
Apse01G005100.1	GWHTBECT000556
Apse01G005110.1	GWHTBECT000557
Apse01G005120.1	GWHTBECT000558
Apse01G005130.1	GWHTBECT000559
Apse01G005140.1	GWHTBECT000560
Apse01G005150.1	GWHTBECT000561
Apse01G005160.1	GWHTBECT000562
Apse01G005170.1	GWHTBECT000563
Apse01G005170.2	GWHTBECT000564
Apse01G005180.1	GWHTBECT000565
Apse01G005190.1	GWHTBECT000566
Apse01G005200.1	GWHTBECT000567
Apse01G005210.1	GWHTBECT000568
Apse01G005220.1	GWHTBECT000569
Apse01G005230.1	GWHTBECT000570
Apse01G005240.1	GWHTBECT000571
Apse01G005250.1	GWHTBECT000572
Apse01G005260.1	GWHTBECT000573
Apse01G005270.1	GWHTBECT000574
Apse01G005280.1	GWHTBECT000575
Apse01G005290.1	GWHTBECT000576
Apse01G005300.1	GWHTBECT000577
Apse01G005310.1	GWHTBECT000578
Apse01G005320.1	GWHTBECT000579
Apse01G005330.1	GWHTBECT000580
Apse01G005340.1	GWHTBECT000581
Apse01G005350.1	GWHTBECT000582
Apse01G005360.1	GWHTBECT000583
Apse01G005370.1	GWHTBECT000584
Apse01G005380.1	GWHTBECT000585
Apse01G005390.1	GWHTBECT000586
Apse01G005400.1	GWHTBECT000587
Apse01G005410.1	GWHTBECT000588
Apse01G005420.1	GWHTBECT000589
Apse01G005430.1	GWHTBECT000590
Apse01G005440.1	GWHTBECT000591
Apse01G005450.1	GWHTBECT000592
Apse01G005460.1	GWHTBECT000593
Apse01G005470.1	GWHTBECT000594
Apse01G005470.2	GWHTBECT000595
Apse01G005480.1	GWHTBECT000596
Apse01G005480.2	GWHTBECT000597
Apse01G005490.1	GWHTBECT000598
Apse01G005500.1	GWHTBECT000599
Apse01G005500.2	GWHTBECT000600
Apse01G005500.3	GWHTBECT000601
Apse01G005510.1	GWHTBECT000602
Apse01G005520.1	GWHTBECT000603
Apse01G005530.1	GWHTBECT000604
Apse01G005540.1	GWHTBECT000605
Apse01G005550.1	GWHTBECT000606
Apse01G005560.1	GWHTBECT000607
Apse01G005570.1	GWHTBECT000608
Apse01G005580.1	GWHTBECT000609
Apse01G005590.1	GWHTBECT000610
Apse01G005600.1	GWHTBECT000611
Apse01G005610.1	GWHTBECT000612
Apse01G005620.1	GWHTBECT000613
Apse01G005630.1	GWHTBECT000614
Apse01G005640.1	GWHTBECT000615
Apse01G005650.1	GWHTBECT000616
Apse01G005660.1	GWHTBECT000617
Apse01G005670.1	GWHTBECT000618
Apse01G005680.1	GWHTBECT000619
Apse01G005690.1	GWHTBECT000620
Apse01G005700.1	GWHTBECT000621
Apse01G005710.1	GWHTBECT000622
Apse01G005720.1	GWHTBECT000623
Apse01G005730.1	GWHTBECT000624
Apse01G005740.1	GWHTBECT000625
Apse01G005750.1	GWHTBECT000626
Apse01G005750.2	GWHTBECT000627
Apse01G005760.1	GWHTBECT000628
Apse01G005770.1	GWHTBECT000629
Apse01G005780.1	GWHTBECT000630
Apse01G005790.1	GWHTBECT000631
Apse01G005800.1	GWHTBECT000632
Apse01G005810.1	GWHTBECT000633
Apse01G005820.1	GWHTBECT000634
Apse01G005830.1	GWHTBECT000635
Apse01G005840.1	GWHTBECT000636
Apse01G005850.1	GWHTBECT000637
Apse01G005860.1	GWHTBECT000638
Apse01G005870.1	GWHTBECT000639
Apse01G005880.1	GWHTBECT000640
Apse01G005890.1	GWHTBECT000641
Apse01G005900.1	GWHTBECT000642
Apse01G005910.1	GWHTBECT000643
Apse01G005920.1	GWHTBECT000644
Apse01G005930.1	GWHTBECT000645
Apse01G005940.1	GWHTBECT000646
Apse01G005950.1	GWHTBECT000647
Apse01G005960.1	GWHTBECT000648
Apse01G005970.1	GWHTBECT000649
Apse01G005980.1	GWHTBECT000650
Apse01G005990.1	GWHTBECT000651
Apse01G006000.1	GWHTBECT000652
Apse01G006010.1	GWHTBECT000653
Apse01G006020.1	GWHTBECT000654
Apse01G006030.1	GWHTBECT000655
Apse01G006040.1	GWHTBECT000656
Apse01G006050.1	GWHTBECT000657
Apse01G006060.1	GWHTBECT000658
Apse01G006070.1	GWHTBECT000659
Apse01G006080.1	GWHTBECT000660
Apse01G006090.1	GWHTBECT000661
Apse01G006090.2	GWHTBECT000662
Apse01G006090.3	GWHTBECT000663
Apse01G006090.4	GWHTBECT000664
Apse01G006090.5	GWHTBECT000665
Apse01G006100.1	GWHTBECT000666
Apse01G006110.1	GWHTBECT000667
Apse01G006120.1	GWHTBECT000668
Apse01G006130.1	GWHTBECT000669
Apse01G006140.1	GWHTBECT000670
Apse01G006150.1	GWHTBECT000671
Apse01G006160.1	GWHTBECT000672
Apse01G006170.1	GWHTBECT000673
Apse01G006180.1	GWHTBECT000674
Apse01G006190.1	GWHTBECT000675
Apse01G006200.1	GWHTBECT000676
Apse01G006210.1	GWHTBECT000677
Apse01G006220.1	GWHTBECT000678
Apse01G006220.2	GWHTBECT000679
Apse01G006230.1	GWHTBECT000680
Apse01G006240.1	GWHTBECT000681
Apse01G006250.1	GWHTBECT000682
Apse01G006260.1	GWHTBECT000683
Apse01G006270.1	GWHTBECT000684
Apse01G006280.1	GWHTBECT000685
Apse01G006290.1	GWHTBECT000686
Apse01G006300.1	GWHTBECT000687
Apse01G006310.1	GWHTBECT000688
Apse01G006320.1	GWHTBECT000689
Apse01G006330.1	GWHTBECT000690
Apse01G006340.1	GWHTBECT000691
Apse01G006350.1	GWHTBECT000692
Apse01G006360.1	GWHTBECT000693
Apse01G006370.1	GWHTBECT000694
Apse01G006380.1	GWHTBECT000695
Apse01G006390.1	GWHTBECT000696
Apse01G006400.1	GWHTBECT000697
Apse01G006410.1	GWHTBECT000698
Apse01G006420.1	GWHTBECT000699
