AyanMt	Mt
Ayan_scaffold204	ctg204
Ayan_scaffold205	ctg205
Ayan_scaffold206	ctg206
Ayan_scaffold207	ctg207
Ayan_scaffold208	ctg208
Ayan_scaffold209	ctg209
Ayan_scaffold021	ctg21
Ayan_scaffold210	ctg210
Ayan_scaffold211	ctg211
Ayan_scaffold213	ctg213
Ayan_scaffold215	ctg215
Ayan_scaffold216	ctg216
Ayan_scaffold217	ctg217
Ayan_scaffold218	ctg218
Ayan_scaffold219	ctg219
Ayan_scaffold022	ctg22
Ayan_scaffold220	ctg220
Ayan_scaffold221	ctg221
Ayan_scaffold223	ctg223
Ayan_scaffold224	ctg224
Ayan_scaffold225	ctg225
Ayan_scaffold226	ctg226
Ayan_scaffold227	ctg227
Ayan_scaffold228	ctg228
Ayan_scaffold229	ctg229
Ayan_scaffold023	ctg23
Ayan_scaffold230	ctg230
Ayan_scaffold231	ctg231
Ayan_scaffold232	ctg232
Ayan_scaffold233	ctg233
Ayan_scaffold234	ctg234
Ayan_scaffold236	ctg236
Ayan_scaffold237	ctg237
Ayan_scaffold238	ctg238
Ayan_scaffold239	ctg239
Ayan_scaffold024	ctg24
Ayan_scaffold240	ctg240
Ayan_scaffold241	ctg241
Ayan_scaffold242	ctg242
Ayan_scaffold244	ctg244
Ayan_scaffold245	ctg245
Ayan_scaffold246	ctg246
Ayan_scaffold247	ctg247
Ayan_scaffold248	ctg248
Ayan_scaffold025	ctg25
Ayan_scaffold250	ctg250
Ayan_scaffold251	ctg251
Ayan_scaffold253	ctg253
Ayan_scaffold254	ctg254
Ayan_scaffold255	ctg255
Ayan_scaffold256	ctg256
Ayan_scaffold257	ctg257
Ayan_scaffold258	ctg258
Ayan_scaffold259	ctg259
Ayan_scaffold026	ctg26
Ayan_scaffold260	ctg260
Ayan_scaffold261	ctg261
Ayan_scaffold263	ctg263
Ayan_scaffold264	ctg264
Ayan_scaffold265	ctg265
Ayan_scaffold266	ctg266
Ayan_scaffold267	ctg267
Ayan_scaffold268	ctg268
Ayan_scaffold269	ctg269
Ayan_scaffold027	ctg27
Ayan_scaffold270	ctg270
Ayan_scaffold272	ctg272
Ayan_scaffold273	ctg273
Ayan_scaffold274	ctg274
Ayan_scaffold275	ctg275
Ayan_scaffold276	ctg276
Ayan_scaffold277	ctg277
Ayan_scaffold278	ctg278
Ayan_scaffold279	ctg279
Ayan_scaffold028	ctg28
Ayan_scaffold280	ctg280
Ayan_scaffold281	ctg281
Ayan_scaffold282	ctg282
Ayan_scaffold283	ctg283
Ayan_scaffold284	ctg284
Ayan_scaffold285	ctg285
Ayan_scaffold286	ctg286
Ayan_scaffold287	ctg287
Ayan_scaffold288	ctg288
Ayan_scaffold289	ctg289
Ayan_scaffold029	ctg29
Ayan_scaffold290	ctg290
Ayan_scaffold291	ctg291
Ayan_scaffold292	ctg292
Ayan_scaffold030	ctg30
Ayan_scaffold031	ctg31
Ayan_scaffold032	ctg32
Ayan_scaffold033	ctg33
Ayan_scaffold035	ctg35
Ayan_scaffold036	ctg36
Ayan_scaffold037	ctg37
Ayan_scaffold038	ctg38
Ayan_scaffold039	ctg39
Ayan_scaffold040	ctg40
Ayan_scaffold041	ctg41
Ayan_scaffold042	ctg42
Ayan_scaffold043	ctg43
Ayan_scaffold044	ctg44
Ayan_scaffold045	ctg45
Ayan_scaffold046	ctg46
Ayan_scaffold047	ctg47
Ayan_scaffold048	ctg48
Ayan_scaffold049	ctg49
Ayan_scaffold050	ctg50
Ayan_scaffold051	ctg51
Ayan_scaffold052	ctg52
Ayan_scaffold053	ctg53
Ayan_scaffold054	ctg54
Ayan_scaffold055	ctg55
Ayan_scaffold056	ctg56
Ayan_scaffold057	ctg57
Ayan_scaffold058	ctg58
Ayan_scaffold059	ctg59
Ayan_scaffold060	ctg60
Ayan_scaffold061	ctg61
Ayan_scaffold062	ctg62
Ayan_scaffold063	ctg63
Ayan_scaffold064	ctg64
Ayan_scaffold065	ctg65
Ayan_scaffold066	ctg66
Ayan_scaffold067	ctg67
Ayan_scaffold068	ctg68
Ayan_scaffold069	ctg69
Ayan_scaffold070	ctg70
Ayan_scaffold071	ctg71
Ayan_scaffold072	ctg72
Ayan_scaffold073	ctg73
Ayan_scaffold074	ctg74
Ayan_scaffold075	ctg75
Ayan_scaffold077	ctg77
Ayan_scaffold079	ctg79
Ayan_scaffold080	ctg80
Ayan_scaffold081	ctg81
Ayan_scaffold082	ctg82
Ayan_scaffold083	ctg83
Ayan_scaffold084	ctg84
Ayan_scaffold085	ctg85
Ayan_scaffold086	ctg86
Ayan_scaffold087	ctg87
Ayan_scaffold089	ctg89
Ayan_scaffold090	ctg90
Ayan_scaffold091	ctg91
Ayan_scaffold092	ctg92
Ayan_scaffold093	ctg93
Ayan_scaffold094	ctg94
Ayan_scaffold095	ctg95
Ayan_scaffold096	ctg96
Ayan_scaffold097	ctg97
Ayan_scaffold098	ctg98
Ayan_scaffold099	ctg99
