Aneg05G018740.1	ACNE_00001
Aneg08G002720.1	ACNE_00074
Aneg07G009090.1	ACNE_00075
Aneg12G005720.1	ACNE_00076
Aneg08G000470.1	ACNE_00077
Aneg05G021700.1	ACNE_00078
Aneg05G004710.1	ACNE_00079
Aneg11G005770.1	ACNE_00080
Aneg09G003150.1	ACNE_00081
Aneg12G007180.1	ACNE_00082
Aneg04G019200.1	ACNE_00083
Aneg13G014060.1	ACNE_00084
Aneg06G005630.1	ACNE_00085
Aneg06G007080.1	ACNE_00086
Aneg09G019640.1	ACNE_00087
Aneg02G020420.1	ACNE_00088
Aneg04G007700.1	ACNE_00089
Aneg05G002940.1	ACNE_00090
Aneg06G013070.1	ACNE_00091
Aneg07G000120.1	ACNE_00092
Aneg06G019450.1	ACNE_00093
Aneg13G016730.1	ACNE_00094
Aneg02G002510.1	ACNE_00095
Aneg07G017110.1	ACNE_00096
Aneg06G008110.1	ACNE_00097
Aneg13G004500.1	ACNE_00098
Aneg04G000180.1	ACNE_00099
Aneg07G007080.1	ACNE_00100
Aneg12G002280.1	ACNE_00101
Aneg07G003010.1	ACNE_00102
Aneg11G010270.1	ACNE_00103
Aneg03G028340.1	ACNE_00104
Aneg06G019220.1	ACNE_00105
Aneg13G003210.1	ACNE_00106
Aneg02G022940.1	ACNE_00107
Aneg01G002160.1	ACNE_00108
Aneg11G001350.1	ACNE_00109
Aneg09G009540.1	ACNE_00110
Aneg02G011570.1	ACNE_00111
Aneg07G005190.1	ACNE_00112
Aneg13G005680.1	ACNE_00113
Aneg04G023930.1	ACNE_00114
Aneg13G015900.1	ACNE_00115
Aneg09G003210.1	ACNE_00116
Aneg06G012960.1	ACNE_00117
Aneg12G012920.1	ACNE_00118
Aneg11G014260.1	ACNE_00119
Aneg04G009010.1	ACNE_00120
Aneg08G011280.1	ACNE_00121
Aneg03G022050.1	ACNE_00122
Aneg08G016460.1	ACNE_00123
Aneg03G000010.1	ACNE_00124
Aneg03G008390.1	ACNE_00125
Aneg13G017060.1	ACNE_00126
Aneg11G011840.1	ACNE_00127
Aneg11G008230.1	ACNE_00128
Aneg13G006400.1	ACNE_00129
Aneg06G018040.1	ACNE_00130
Aneg06G017510.1	ACNE_00131
Aneg02G010640.1	ACNE_00132
Aneg02G006440.1	ACNE_00133
Aneg11G008240.1	ACNE_00134
Aneg01G005100.1	ACNE_00135
Aneg04G003520.1	ACNE_00136
Aneg04G018780.1	ACNE_00137
Aneg07G018370.1	ACNE_00138
Aneg13G010000.1	ACNE_00139
Aneg05G019180.1	ACNE_00140
Aneg10G003100.1	ACNE_00141
Aneg03G025150.1	ACNE_00142
Aneg13G008880.1	ACNE_00143
Aneg11G016960.1	ACNE_00144
Aneg10G013700.1	ACNE_00145
Aneg03G014800.1	ACNE_00146
Aneg03G020870.1	ACNE_00147
Aneg13G012350.1	ACNE_00148
Aneg12G012090.1	ACNE_00149
Aneg12G007950.1	ACNE_00150
Aneg10G012880.1	ACNE_00151
Aneg05G019200.1	ACNE_00152
Aneg01G028110.1	ACNE_00153
Aneg04G013900.1	ACNE_00154
Aneg06G017290.1	ACNE_00155
Aneg09G017500.1	ACNE_00156
Aneg01G030730.1	ACNE_00157
Aneg04G004990.1	ACNE_00158
Aneg01G011100.1	ACNE_00159
Aneg10G001580.1	ACNE_00160
Aneg04G014000.1	ACNE_00161
Aneg06G005300.1	ACNE_00162
Aneg04G023560.1	ACNE_00163
Aneg04G009110.1	ACNE_00164
Aneg06G002370.1	ACNE_00165
Aneg05G000480.1	ACNE_00166
Aneg06G014520.1	ACNE_00167
Aneg01G006820.1	ACNE_00168
Aneg13G009530.1	ACNE_00169
Aneg12G015300.1	ACNE_00170
Aneg10G000450.1	ACNE_00171
Aneg01G010130.1	ACNE_00172
Aneg01G032400.1	ACNE_00173
Aneg01G011210.1	ACNE_00174
Aneg01G030040.1	ACNE_00175
Aneg13G015320.1	ACNE_00176
Aneg09G006380.1	ACNE_00177
Aneg04G005970.1	ACNE_00178
Aneg04G009860.1	ACNE_00179
Aneg09G011460.1	ACNE_00180
Aneg12G012330.1	ACNE_00181
Aneg09G014980.1	ACNE_00182
Aneg08G009810.1	ACNE_00183
Aneg07G008150.1	ACNE_00184
Aneg07G017200.1	ACNE_00185
Aneg02G029710.1	ACNE_00186
Aneg11G001310.1	ACNE_00187
Aneg04G022240.1	ACNE_00188
Aneg05G006330.1	ACNE_00189
Aneg02G013940.1	ACNE_00190
Aneg03G009070.1	ACNE_00191
Aneg07G009920.1	ACNE_00192
Aneg01G006590.1	ACNE_00193
Aneg09G000710.1	ACNE_00194
Aneg01G012830.1	ACNE_00195
Aneg03G019150.1	ACNE_00196
Aneg06G016110.1	ACNE_00197
Aneg01G024460.1	ACNE_00198
Aneg06G003680.1	ACNE_00199
Aneg01G001680.1	ACNE_00200
Aneg06G010390.1	ACNE_00201
Aneg11G016570.1	ACNE_00202
Aneg05G024520.1	ACNE_00203
Aneg01G024630.1	ACNE_00204
Aneg07G016500.1	ACNE_00205
Aneg040S000020.1	ACNE_00206
Aneg09G006880.1	ACNE_00207
Aneg04G029380.1	ACNE_00208
Aneg02G023330.1	ACNE_00209
Aneg08G011100.1	ACNE_00210
Aneg04G019520.1	ACNE_00211
Aneg11G015120.1	ACNE_00212
Aneg09G000100.1	ACNE_00213
Aneg04G014550.1	ACNE_00214
Aneg035S000020.1	ACNE_00215
Aneg12G015490.1	ACNE_00216
Aneg04G000530.1	ACNE_00217
Aneg04G007170.1	ACNE_00218
Aneg10G002320.1	ACNE_00219
Aneg06G005760.1	ACNE_00220
Aneg02G032020.1	ACNE_00221
Aneg06G011590.1	ACNE_00222
Aneg02G024990.1	ACNE_00223
Aneg05G006880.1	ACNE_00224
Aneg02G000840.1	ACNE_00225
Aneg02G030720.1	ACNE_00226
Aneg06G003530.1	ACNE_00227
Aneg04G001860.1	ACNE_00228
Aneg06G002500.1	ACNE_00229
Aneg04G020850.1	ACNE_00230
Aneg05G017800.1	ACNE_00231
Aneg06G009400.1	ACNE_00232
Aneg02G031680.1	ACNE_00233
Aneg02G014940.1	ACNE_00234
Aneg11G018570.1	ACNE_00235
Aneg02G026700.1	ACNE_00236
Aneg06G009190.1	ACNE_00237
Aneg12G008110.1	ACNE_00238
Aneg01G004870.1	ACNE_00239
Aneg08G014560.1	ACNE_00240
Aneg05G023610.1	ACNE_00241
Aneg02G026490.1	ACNE_00242
Aneg03G019060.1	ACNE_00243
Aneg13G009130.1	ACNE_00244
Aneg07G017070.1	ACNE_00245
Aneg13G005760.1	ACNE_00246
Aneg06G008640.1	ACNE_00247
Aneg04G028670.1	ACNE_00248
Aneg07G008320.1	ACNE_00249
Aneg08G012730.1	ACNE_00250
Aneg13G015340.1	ACNE_00251
Aneg08G018540.1	ACNE_00252
Aneg10G009910.1	ACNE_00253
Aneg07G010680.1	ACNE_00254
Aneg13G014760.1	ACNE_00255
Aneg05G012370.1	ACNE_00256
Aneg12G003740.1	ACNE_00257
Aneg11G017420.1	ACNE_00258
Aneg04G027820.1	ACNE_00259
Aneg02G031000.1	ACNE_00260
Aneg08G019440.1	ACNE_00261
Aneg10G011550.1	ACNE_00262
Aneg03G026360.1	ACNE_00263
Aneg12G017060.1	ACNE_00264
Aneg08G000330.1	ACNE_00265
Aneg11G003350.1	ACNE_00266
Aneg07G018970.1	ACNE_00267
Aneg13G013790.1	ACNE_00268
Aneg07G000850.1	ACNE_00269
Aneg08G013120.1	ACNE_00270
Aneg055S000010.1	ACNE_00271
Aneg04G006060.1	ACNE_00272
Aneg02G010780.1	ACNE_00273
Aneg07G005670.1	ACNE_00274
Aneg05G005900.1	ACNE_00275
Aneg13G008290.1	ACNE_00276
Aneg04G009090.1	ACNE_00277
Aneg02G019370.1	ACNE_00278
Aneg11G003020.1	ACNE_00279
Aneg12G004980.1	ACNE_00280
Aneg01G033010.1	ACNE_00281
Aneg05G008230.1	ACNE_00282
Aneg04G025830.1	ACNE_00283
Aneg07G010840.1	ACNE_00284
Aneg02G019640.1	ACNE_00285
Aneg09G016520.1	ACNE_00286
Aneg02G024600.1	ACNE_00287
Aneg04G007100.1	ACNE_00288
Aneg02G010510.1	ACNE_00289
Aneg04G020490.1	ACNE_00290
Aneg07G004840.1	ACNE_00291
Aneg12G010960.1	ACNE_00292
Aneg05G007970.1	ACNE_00293
Aneg02G029100.1	ACNE_00294
Aneg05G020340.1	ACNE_00295
Aneg05G019500.1	ACNE_00296
Aneg01G001030.1	ACNE_00297
Aneg04G009810.1	ACNE_00298
Aneg04G025080.1	ACNE_00299
Aneg05G013860.1	ACNE_00300
Aneg11G014210.1	ACNE_00301
Aneg02G004650.1	ACNE_00302
Aneg09G013620.1	ACNE_00303
Aneg11G018420.1	ACNE_00304
Aneg11G017430.1	ACNE_00305
Aneg06G013630.1	ACNE_00306
Aneg04G015990.1	ACNE_00307
Aneg04G005300.1	ACNE_00308
Aneg04G026970.1	ACNE_00309
Aneg01G008560.1	ACNE_00310
Aneg08G010460.1	ACNE_00311
Aneg13G007500.1	ACNE_00312
Aneg03G000780.1	ACNE_00313
Aneg12G009540.1	ACNE_00314
Aneg01G002130.1	ACNE_00315
Aneg02G020050.1	ACNE_00316
Aneg05G019410.1	ACNE_00317
Aneg03G026470.1	ACNE_00318
Aneg12G000170.1	ACNE_00319
Aneg02G026500.1	ACNE_00320
Aneg05G001350.1	ACNE_00321
Aneg01G023220.1	ACNE_00322
Aneg02G002890.1	ACNE_00323
Aneg12G017480.1	ACNE_00324
Aneg09G000910.1	ACNE_00325
Aneg04G015180.1	ACNE_00326
Aneg08G005850.1	ACNE_00327
Aneg13G005870.1	ACNE_00328
Aneg10G008440.1	ACNE_00329
Aneg12G018280.1	ACNE_00330
Aneg11G010040.1	ACNE_00331
Aneg03G008590.1	ACNE_00332
Aneg06G021050.1	ACNE_00333
Aneg01G024770.1	ACNE_00334
Aneg02G024710.1	ACNE_00335
Aneg01G003830.1	ACNE_00336
Aneg09G018930.1	ACNE_00337
Aneg04G021310.1	ACNE_00338
Aneg06G006640.1	ACNE_00339
Aneg04G000130.1	ACNE_00340
Aneg11G009680.1	ACNE_00341
Aneg08G008810.1	ACNE_00342
Aneg11G011390.1	ACNE_00343
Aneg13G015430.1	ACNE_00344
Aneg10G008380.1	ACNE_00345
Aneg08G017910.1	ACNE_00346
Aneg04G019060.1	ACNE_00347
Aneg06G020500.1	ACNE_00348
Aneg09G018090.1	ACNE_00349
Aneg09G014020.1	ACNE_00350
Aneg13G013260.1	ACNE_00351
Aneg12G016780.1	ACNE_00352
Aneg07G003800.1	ACNE_00353
Aneg04G022730.1	ACNE_00354
Aneg13G007060.1	ACNE_00355
Aneg02G021350.1	ACNE_00356
Aneg12G015520.1	ACNE_00357
Aneg03G025320.1	ACNE_00358
Aneg07G017250.1	ACNE_00359
Aneg11G012860.1	ACNE_00360
Aneg05G014400.1	ACNE_00361
Aneg05G004800.1	ACNE_00362
Aneg03G027510.1	ACNE_00363
Aneg08G009200.1	ACNE_00364
Aneg01G028460.1	ACNE_00365
Aneg04G022580.1	ACNE_00366
Aneg04G010760.1	ACNE_00367
Aneg01G018120.1	ACNE_00368
Aneg01G022550.1	ACNE_00369
Aneg05G004290.1	ACNE_00370
Aneg13G007480.1	ACNE_00371
Aneg01G026530.1	ACNE_00372
Aneg05G000940.1	ACNE_00373
Aneg11G003520.1	ACNE_00374
Aneg03G008580.1	ACNE_00375
Aneg05G013530.1	ACNE_00376
Aneg01G010050.1	ACNE_00377
Aneg04G008250.1	ACNE_00378
Aneg08G008490.1	ACNE_00379
Aneg11G017070.1	ACNE_00380
Aneg08G000160.1	ACNE_00381
Aneg01G030890.1	ACNE_00382
Aneg01G023750.1	ACNE_00383
Aneg02G013650.1	ACNE_00384
Aneg04G003030.1	ACNE_00385
Aneg13G007050.1	ACNE_00386
Aneg09G019040.1	ACNE_00387
Aneg03G016980.1	ACNE_00388
Aneg13G005860.1	ACNE_00389
Aneg05G018070.1	ACNE_00390
Aneg06G008960.1	ACNE_00391
Aneg04G000890.1	ACNE_00392
Aneg04G028710.1	ACNE_00393
Aneg08G005440.1	ACNE_00394
Aneg04G003800.1	ACNE_00395
Aneg09G012020.1	ACNE_00396
Aneg07G012460.1	ACNE_00397
Aneg07G005550.1	ACNE_00398
Aneg13G004180.1	ACNE_00399
Aneg03G005090.1	ACNE_00400
Aneg02G005680.1	ACNE_00401
Aneg05G003750.1	ACNE_00402
Aneg10G006100.1	ACNE_00403
Aneg09G009090.1	ACNE_00404
Aneg01G012060.1	ACNE_00405
Aneg06G007690.1	ACNE_00406
Aneg02G001300.1	ACNE_00407
Aneg09G006090.1	ACNE_00408
Aneg11G014490.1	ACNE_00409
Aneg10G000460.1	ACNE_00410
Aneg02G017420.1	ACNE_00411
Aneg08G000620.1	ACNE_00412
Aneg04G025750.1	ACNE_00413
Aneg04G003940.1	ACNE_00414
Aneg09G015410.1	ACNE_00415
Aneg076S000040.1	ACNE_00416
Aneg02G015290.1	ACNE_00417
Aneg03G025520.1	ACNE_00418
Aneg02G010830.1	ACNE_00419
Aneg04G026170.1	ACNE_00420
Aneg06G020650.1	ACNE_00421
Aneg02G031880.1	ACNE_00422
Aneg12G013700.1	ACNE_00423
Aneg05G000810.1	ACNE_00424
Aneg04G018150.1	ACNE_00425
Aneg11G002950.1	ACNE_00426
Aneg04G003530.1	ACNE_00427
Aneg12G015460.1	ACNE_00428
Aneg05G016610.1	ACNE_00429
Aneg01G002610.1	ACNE_00430
Aneg06G005440.1	ACNE_00431
Aneg10G002730.1	ACNE_00432
Aneg12G013150.1	ACNE_00433
Aneg06G014590.1	ACNE_00434
Aneg01G001580.1	ACNE_00435
Aneg04G026470.1	ACNE_00436
Aneg09G001060.1	ACNE_00437
Aneg03G017780.1	ACNE_00438
Aneg03G022110.1	ACNE_00439
Aneg08G003570.1	ACNE_00440
Aneg03G011530.1	ACNE_00441
Aneg12G009870.1	ACNE_00442
Aneg02G029500.1	ACNE_00443
Aneg08G013200.1	ACNE_00444
Aneg11G008270.1	ACNE_00445
Aneg05G008090.1	ACNE_00446
Aneg05G017480.1	ACNE_00447
Aneg12G007610.1	ACNE_00448
Aneg03G010950.1	ACNE_00449
Aneg09G017260.1	ACNE_00450
Aneg11G001760.1	ACNE_00451
Aneg06G020460.1	ACNE_00452
Aneg04G008780.1	ACNE_00453
Aneg07G009220.1	ACNE_00454
Aneg01G023690.1	ACNE_00455
Aneg07G008880.1	ACNE_00456
Aneg07G004660.1	ACNE_00457
Aneg07G014850.1	ACNE_00458
Aneg08G013340.1	ACNE_00459
Aneg07G014410.1	ACNE_00460
Aneg03G018120.1	ACNE_00461
Aneg02G009470.1	ACNE_00462
Aneg05G007920.1	ACNE_00463
Aneg11G011410.1	ACNE_00464
Aneg10G009520.1	ACNE_00465
Aneg13G000800.1	ACNE_00466
Aneg01G001620.1	ACNE_00467
Aneg13G006760.1	ACNE_00468
Aneg04G020610.1	ACNE_00469
Aneg12G016530.1	ACNE_00470
Aneg07G000980.1	ACNE_00471
Aneg03G000710.1	ACNE_00472
Aneg12G004050.1	ACNE_00473
Aneg13G012300.1	ACNE_00474
Aneg09G005320.1	ACNE_00475
Aneg11G010510.1	ACNE_00476
Aneg10G006720.1	ACNE_00477
Aneg04G017260.1	ACNE_00478
Aneg07G013010.1	ACNE_00479
Aneg08G008990.1	ACNE_00480
Aneg03G006230.1	ACNE_00481
Aneg03G011790.1	ACNE_00482
Aneg07G016480.1	ACNE_00483
Aneg07G008670.1	ACNE_00484
Aneg05G005080.1	ACNE_00485
Aneg12G006300.1	ACNE_00486
Aneg09G006390.1	ACNE_00487
Aneg01G030750.1	ACNE_00488
Aneg03G002740.1	ACNE_00489
Aneg08G014110.1	ACNE_00490
Aneg04G024500.1	ACNE_00491
Aneg07G007850.1	ACNE_00492
Aneg04G016060.1	ACNE_00493
Aneg04G007210.1	ACNE_00494
Aneg10G003660.1	ACNE_00495
Aneg03G026590.1	ACNE_00496
Aneg07G002590.1	ACNE_00497
Aneg11G010050.1	ACNE_00498
Aneg12G013560.1	ACNE_00499
Aneg03G016370.1	ACNE_00500
Aneg09G013500.1	ACNE_00501
Aneg12G017120.1	ACNE_00502
Aneg03G021850.1	ACNE_00503
Aneg04G012080.1	ACNE_00504
Aneg05G020070.1	ACNE_00505
Aneg11G009180.1	ACNE_00506
Aneg07G015570.1	ACNE_00507
Aneg10G006820.1	ACNE_00508
Aneg07G010470.1	ACNE_00509
Aneg12G003400.1	ACNE_00510
Aneg01G028390.1	ACNE_00511
Aneg05G008830.1	ACNE_00512
Aneg08G002790.1	ACNE_00513
Aneg02G005930.1	ACNE_00514
Aneg06G017960.1	ACNE_00515
Aneg06G014470.1	ACNE_00516
Aneg01G028350.1	ACNE_00517
Aneg08G013780.1	ACNE_00518
Aneg01G030430.1	ACNE_00519
Aneg03G022990.1	ACNE_00520
Aneg05G013350.1	ACNE_00521
Aneg03G020100.1	ACNE_00522
Aneg10G014500.1	ACNE_00523
Aneg04G009050.1	ACNE_00524
Aneg05G004060.1	ACNE_00525
Aneg11G013340.1	ACNE_00526
Aneg11G007910.1	ACNE_00527
Aneg09G000620.1	ACNE_00528
Aneg13G007610.1	ACNE_00529
Aneg02G013410.1	ACNE_00530
Aneg05G009790.1	ACNE_00531
Aneg03G019970.1	ACNE_00532
Aneg07G018030.1	ACNE_00533
Aneg03G006150.1	ACNE_00534
Aneg10G011410.1	ACNE_00535
Aneg03G025350.1	ACNE_00536
Aneg04G014610.1	ACNE_00537
Aneg13G003180.1	ACNE_00538
Aneg13G008940.1	ACNE_00539
Aneg10G003640.1	ACNE_00540
Aneg02G017940.1	ACNE_00541
Aneg03G029710.1	ACNE_00542
Aneg11G015270.1	ACNE_00543
Aneg01G006460.1	ACNE_00544
Aneg04G026210.1	ACNE_00545
Aneg10G004150.1	ACNE_00546
Aneg01G000610.1	ACNE_00547
Aneg02G005220.1	ACNE_00548
Aneg06G005200.1	ACNE_00549
Aneg08G017770.1	ACNE_00550
Aneg10G003600.1	ACNE_00551
Aneg09G000950.1	ACNE_00552
Aneg07G008350.1	ACNE_00553
Aneg05G024970.1	ACNE_00554
Aneg02G005180.1	ACNE_00555
Aneg04G012130.1	ACNE_00556
Aneg13G016230.1	ACNE_00557
Aneg01G004600.1	ACNE_00558
Aneg11G008660.1	ACNE_00559
Aneg04G026810.1	ACNE_00560
Aneg05G008240.1	ACNE_00561
Aneg03G020600.1	ACNE_00562
Aneg01G005190.1	ACNE_00563
Aneg05G022460.1	ACNE_00564
Aneg04G019610.1	ACNE_00565
Aneg10G002540.1	ACNE_00566
Aneg04G011130.1	ACNE_00567
Aneg06G018720.1	ACNE_00568
Aneg13G017010.1	ACNE_00569
Aneg09G002660.1	ACNE_00570
Aneg04G022330.1	ACNE_00571
Aneg07G011410.1	ACNE_00572
Aneg08G008200.1	ACNE_00573
Aneg10G005010.1	ACNE_00574
Aneg05G025150.1	ACNE_00575
Aneg01G015310.1	ACNE_00576
Aneg01G028410.1	ACNE_00577
Aneg05G002710.1	ACNE_00578
Aneg02G002910.1	ACNE_00579
Aneg01G020260.1	ACNE_00580
Aneg07G018900.1	ACNE_00581
Aneg01G019120.1	ACNE_00582
Aneg03G010920.1	ACNE_00583
Aneg13G005660.1	ACNE_00584
Aneg03G027500.1	ACNE_00585
Aneg05G006750.1	ACNE_00586
Aneg06G000300.1	ACNE_00587
Aneg01G018580.1	ACNE_00588
Aneg02G031890.1	ACNE_00589
Aneg05G002170.1	ACNE_00590
Aneg11G009270.1	ACNE_00591
Aneg07G017100.1	ACNE_00592
Aneg08G012100.1	ACNE_00593
Aneg01G008830.1	ACNE_00594
Aneg03G004690.1	ACNE_00595
Aneg05G005870.1	ACNE_00596
Aneg04G010750.1	ACNE_00597
Aneg01G001700.1	ACNE_00598
Aneg08G006510.1	ACNE_00599
Aneg11G012400.1	ACNE_00600
Aneg01G031890.1	ACNE_00601
Aneg06G005070.1	ACNE_00602
Aneg10G001360.1	ACNE_00603
Aneg05G019720.1	ACNE_00604
Aneg07G007350.1	ACNE_00605
Aneg03G011780.1	ACNE_00606
Aneg07G015180.1	ACNE_00607
Aneg10G012520.1	ACNE_00608
Aneg01G015890.1	ACNE_00609
Aneg04G001260.1	ACNE_00610
Aneg03G007230.1	ACNE_00611
Aneg10G005800.1	ACNE_00612
Aneg10G008240.1	ACNE_00613
Aneg03G014850.1	ACNE_00614
Aneg07G015410.1	ACNE_00615
Aneg13G007900.1	ACNE_00616
Aneg03G015860.1	ACNE_00617
Aneg04G017140.1	ACNE_00618
Aneg01G006830.1	ACNE_00619
Aneg12G006990.1	ACNE_00620
Aneg08G011180.1	ACNE_00621
Aneg03G022460.1	ACNE_00622
Aneg05G011750.1	ACNE_00623
Aneg05G003180.1	ACNE_00624
Aneg02G024650.1	ACNE_00625
Aneg09G012140.1	ACNE_00626
Aneg03G007580.1	ACNE_00627
Aneg04G017840.1	ACNE_00628
Aneg041S000030.1	ACNE_00629
Aneg09G015180.1	ACNE_00630
Aneg01G023550.1	ACNE_00631
Aneg04G020050.1	ACNE_00632
Aneg02G009870.1	ACNE_00633
Aneg01G001990.1	ACNE_00634
Aneg05G013320.1	ACNE_00635
Aneg04G027760.1	ACNE_00636
Aneg12G013990.1	ACNE_00637
Aneg03G000730.1	ACNE_00638
Aneg04G005310.1	ACNE_00639
Aneg06G002930.1	ACNE_00640
Aneg13G016640.1	ACNE_00641
Aneg04G000880.1	ACNE_00642
Aneg06G005940.1	ACNE_00643
Aneg03G013930.1	ACNE_00644
Aneg10G000570.1	ACNE_00645
Aneg12G010740.1	ACNE_00646
Aneg09G006990.1	ACNE_00647
Aneg05G000340.1	ACNE_00648
Aneg10G004440.1	ACNE_00649
Aneg13G008600.1	ACNE_00650
Aneg09G008650.1	ACNE_00651
Aneg12G008600.1	ACNE_00652
Aneg05G006520.1	ACNE_00653
Aneg02G024380.1	ACNE_00654
Aneg13G013960.1	ACNE_00655
Aneg02G025670.1	ACNE_00656
Aneg03G028470.1	ACNE_00657
Aneg01G008660.1	ACNE_00658
Aneg05G011100.1	ACNE_00659
Aneg09G015270.1	ACNE_00660
Aneg04G001020.1	ACNE_00661
Aneg01G017170.1	ACNE_00662
Aneg09G001490.1	ACNE_00663
Aneg09G003770.1	ACNE_00664
Aneg09G013080.1	ACNE_00665
Aneg04G001400.1	ACNE_00666
Aneg04G009390.1	ACNE_00667
Aneg11G001950.1	ACNE_00668
Aneg08G007070.1	ACNE_00669
Aneg08G001590.1	ACNE_00670
Aneg01G030370.1	ACNE_00671
Aneg06G002390.1	ACNE_00672
Aneg05G020180.1	ACNE_00673
Aneg03G006220.1	ACNE_00674
Aneg04G009590.1	ACNE_00675
Aneg11G008460.1	ACNE_00676
Aneg01G017970.1	ACNE_00677
Aneg11G007210.1	ACNE_00678
Aneg01G001430.1	ACNE_00679
Aneg01G020250.1	ACNE_00680
Aneg07G014180.1	ACNE_00681
Aneg10G010080.1	ACNE_00682
Aneg01G025720.1	ACNE_00683
Aneg12G011440.1	ACNE_00684
Aneg03G015030.1	ACNE_00685
Aneg01G015510.1	ACNE_00686
Aneg02G026640.1	ACNE_00687
Aneg02G016970.1	ACNE_00688
Aneg08G008950.1	ACNE_00689
Aneg06G011600.1	ACNE_00690
Aneg04G017950.1	ACNE_00691
Aneg02G025730.1	ACNE_00692
Aneg02G007490.1	ACNE_00693
Aneg10G014670.1	ACNE_00694
Aneg05G014780.1	ACNE_00695
Aneg10G012990.1	ACNE_00696
Aneg01G027810.1	ACNE_00697
Aneg13G000190.1	ACNE_00698
Aneg04G013830.1	ACNE_00699
Aneg07G017400.1	ACNE_00700
Aneg04G028730.1	ACNE_00701
Aneg08G005010.1	ACNE_00702
Aneg10G001140.1	ACNE_00703
Aneg01G031620.1	ACNE_00704
Aneg04G026540.1	ACNE_00705
Aneg05G017670.1	ACNE_00706
Aneg13G005480.1	ACNE_00707
Aneg04G028410.1	ACNE_00708
Aneg05G011730.1	ACNE_00709
Aneg02G018930.1	ACNE_00710
Aneg06G015380.1	ACNE_00711
Aneg02G023650.1	ACNE_00712
Aneg10G006000.1	ACNE_00713
Aneg05G020400.1	ACNE_00714
Aneg07G012710.1	ACNE_00715
Aneg07G004850.1	ACNE_00716
Aneg04G018290.1	ACNE_00717
Aneg02G021180.1	ACNE_00718
Aneg04G019840.1	ACNE_00719
Aneg04G019900.1	ACNE_00720
Aneg06G007450.1	ACNE_00721
Aneg03G022970.1	ACNE_00722
Aneg04G020650.1	ACNE_00723
Aneg06G002540.1	ACNE_00724
Aneg03G013540.1	ACNE_00725
Aneg02G005230.1	ACNE_00726
Aneg10G014520.1	ACNE_00727
Aneg11G007060.1	ACNE_00728
Aneg03G004840.1	ACNE_00729
Aneg05G008130.1	ACNE_00730
Aneg01G029570.1	ACNE_00731
Aneg02G027050.1	ACNE_00732
Aneg04G027520.1	ACNE_00733
Aneg01G032690.1	ACNE_00734
Aneg01G020610.1	ACNE_00735
