Atru01G000010	Atru.chr1.1
Atru01G001200	Atru.chr1.140
Atru01G001210	Atru.chr1.141
Atru01G001220	Atru.chr1.143
Atru01G001230	Atru.chr1.144
Atru01G001240	Atru.chr1.145
Atru01G001250	Atru.chr1.146
Atru01G001260	Atru.chr1.147
Atru01G001270	Atru.chr1.148
Atru01G001280	Atru.chr1.149
Atru01G001290	Atru.chr1.150
Atru01G001300	Atru.chr1.151
Atru01G001310	Atru.chr1.153
Atru01G001320	Atru.chr1.156
Atru01G001330	Atru.chr1.157
Atru01G001340	Atru.chr1.159
Atru01G001350	Atru.chr1.160
Atru01G001360	Atru.chr1.161
Atru01G001370	Atru.chr1.163
Atru01G001380	Atru.chr1.164
Atru01G001390	Atru.chr1.165
Atru01G001400	Atru.chr1.166
Atru01G001410	Atru.chr1.167
Atru01G001420	Atru.chr1.168
Atru01G001430	Atru.chr1.169
Atru01G001440	Atru.chr1.172
Atru01G001450	Atru.chr1.174
Atru01G001460	Atru.chr1.175
Atru01G001470	Atru.chr1.176
Atru01G001480	Atru.chr1.178
Atru01G001490	Atru.chr1.182
Atru01G001500	Atru.chr1.183
Atru01G001510	Atru.chr1.184
Atru01G001520	Atru.chr1.187
Atru01G001530	Atru.chr1.188
Atru01G001540	Atru.chr1.189
Atru01G001550	Atru.chr1.190
Atru01G001560	Atru.chr1.191
Atru01G001570	Atru.chr1.192
Atru01G001580	Atru.chr1.193
Atru01G001590	Atru.chr1.194
Atru01G001600	Atru.chr1.195
Atru01G001610	Atru.chr1.196
Atru01G001620	Atru.chr1.197
Atru01G001630	Atru.BG.175.p
Atru01G001640	Atru.chr1.199
Atru01G001650	Atru.chr1.200
Atru01G001660	Atru.chr1.205
Atru01G001670	Atru.chr1.207
Atru01G001680	Atru.chr1.211
Atru01G001690	Atru.chr1.215
Atru01G001700	Atru.chr1.217
Atru01G001710	Atru.chr1.218
Atru01G001720	Atru.chr1.222
Atru01G001730	Atru.chr1.223
Atru01G001740	Atru.chr1.224
Atru01G001750	Atru.chr1.227
Atru01G001760	Atru.chr1.228
Atru01G001770	Atru.BG.182.p
Atru01G001780	Atru.chr1.231
Atru01G001790	Atru.chr1.232
Atru01G001800	Atru.chr1.233
Atru01G001810	Atru.chr1.234
Atru01G001820	Atru.chr1.235
Atru01G001830	Atru.chr1.236
Atru01G001840	Atru.chr1.240
Atru01G001850	Atru.chr1.241
Atru01G001860	Atru.chr1.242
Atru01G001870	Atru.chr1.243
Atru01G001880	Atru.chr1.244
Atru01G001890	Atru.chr1.246
Atru01G001900	Atru.chr1.247
Atru01G001910	Atru.chr1.248
Atru01G001920	Atru.chr1.249
Atru01G001930	Atru.chr1.250
Atru01G001940	Atru.chr1.251
Atru01G001950	Atru.chr1.252
Atru01G001960	Atru.chr1.253
Atru01G001970	Atru.chr1.254
Atru01G001980	Atru.chr1.255
Atru01G001990	Atru.chr1.256
Atru01G002000	Atru.chr1.257
Atru01G002010	Atru.chr1.258
Atru01G002020	Atru.chr1.259
Atru01G002030	Atru.chr1.260
Atru01G002040	Atru.chr1.261
Atru01G002050	Atru.chr1.262
Atru01G002060	Atru.chr1.263
Atru01G002070	Atru.chr1.267
Atru01G002080	Atru.chr1.269
Atru01G002090	Atru.chr1.270
Atru01G002100	Atru.chr1.272
Atru01G002110	Atru.chr1.273
Atru01G002120	Atru.chr1.274
Atru01G002130	Atru.chr1.275
Atru01G002140	Atru.chr1.276
Atru01G002150	Atru.chr1.278
Atru01G002160	Atru.chr1.279
Atru01G002170	Atru.chr1.280
Atru01G002180	Atru.chr1.282
Atru01G002190	Atru.chr1.283
Atru01G002200	Atru.chr1.284
Atru01G002210	Atru.chr1.285
Atru01G002220	Atru.chr1.286
Atru01G002230	Atru.chr1.287
Atru01G002240	Atru.chr1.288
Atru01G002250	Atru.chr1.290.1
Atru01G002260	Atru.chr1.292
Atru01G002270	Atru.chr1.293
Atru01G002280	Atru.BG.166.p
Atru01G002290	Atru.chr1.295
Atru01G002300	Atru.BG.164.p
Atru01G002310	Atru.chr1.304
Atru01G002320	Atru.chr1.305
Atru01G002330	Atru.chr1.306
Atru01G002340	Atru.chr1.307
Atru01G002350	Atru.chr1.309
Atru01G002360	Atru.chr1.311
Atru01G002370	Atru.BG.163.p
Atru01G002380	Atru.chr1.314
Atru01G002390	Atru.chr1.315
Atru01G002400	Atru.chr1.316
Atru01G002410	Atru.chr1.318
Atru01G002420	Atru.chr1.319
Atru01G002430	Atru.chr1.320
Atru01G002440	Atru.chr1.321
Atru01G002450	Atru.chr1.323
Atru01G002460	Atru.chr1.324
Atru01G002470	Atru.chr1.325
Atru01G002480	Atru.chr1.326
Atru01G002490	Atru.chr1.327
Atru01G002500	Atru.chr1.329
Atru01G002510	Atru.chr1.330
Atru01G002520	Atru.chr1.332
Atru01G002530	Atru.chr1.334
Atru01G002540	Atru.chr1.335
Atru01G002550	Atru.chr1.336
Atru01G002560	Atru.chr1.338
Atru01G002570	Atru.chr1.339
Atru01G002580	Atru.chr1.340
Atru01G002590	Atru.chr1.341
Atru01G002600	Atru.chr1.343
Atru01G002610	Atru.chr1.344
Atru01G002620	Atru.chr1.345
Atru01G002630	Atru.chr1.346_Atru.chr1.347_Atru.chr1.348
Atru01G002640	Atru.chr1.349
Atru01G002650	Atru.chr1.350
Atru01G002660	Atru.chr1.351
Atru01G002670	Atru.chr1.352
Atru01G002680	Atru.chr1.353
Atru01G002690	Atru.chr1.354
Atru01G002700	Atru.chr1.355
Atru01G002710	Atru.chr1.356
Atru01G002720	Atru.chr1.358
Atru01G002730	Atru.chr1.359
Atru01G002740	Atru.chr1.360
Atru01G002750	Atru.chr1.361
Atru01G002760	Atru.chr1.362
Atru01G002770	Atru.chr1.365
Atru01G002780	Atru.chr1.366.2
Atru01G002790	Atru.chr1.367
Atru01G002800	Atru.chr1.368
Atru01G002810	Atru.chr1.369
Atru01G002820	Atru.chr1.370
Atru01G002830	Atru.chr1.372
Atru01G002840	Atru.chr1.374
Atru01G002850	Atru.chr1.375
Atru01G002860	Atru.chr1.376
Atru01G002870	Atru.chr1.378
Atru01G002880	Atru.chr1.379
Atru01G002890	Atru.chr1.380
Atru01G002900	Atru.chr1.381
Atru01G002910	Atru.chr1.382
Atru01G002920	Atru.chr1.383
Atru01G002930	Atru.chr1.384
Atru01G002940	Atru.chr1.386
Atru01G002950	Atru.chr1.387
Atru01G002960	Atru.chr1.388
Atru01G002970	Atru.chr1.389
Atru01G002980	Atru.chr1.393
Atru01G002990	Atru.chr1.394
Atru01G003000	Atru.chr1.395
Atru01G003010	Atru.chr1.396
Atru01G003020	Atru.chr1.397
Atru01G003030	Atru.chr1.398
Atru01G003040	Atru.chr1.399
Atru01G003050	Atru.chr1.400
Atru01G003060	Atru.chr1.401
Atru01G003070	Atru.chr1.402
Atru01G003080	Atru.chr1.403
Atru01G003090	Atru.chr1.404
Atru01G003100	Atru.chr1.405
Atru01G003110	Atru.chr1.406
Atru01G003120	Atru.chr1.408_Atru.chr1.410_Atru.chr1.413_Atru.chr1.414_Atru.chr1.415_Atru.chr1.407
Atru01G003130	Atru.chr1.409
Atru01G003140	Atru.chr1.411
Atru01G003150	Atru.chr1.412
Atru01G003160	Atru.chr1.416
Atru01G003170	Atru.chr1.417
Atru01G003180	Atru.chr1.418
Atru01G003190	Atru.chr1.419
Atru01G003200	Atru.chr1.420
Atru01G003210	Atru.chr1.421
Atru01G003220	Atru.chr1.422
Atru01G003230	Atru.chr1.423
Atru01G003240	Atru.chr1.424
Atru01G003250	Atru.chr1.425
Atru01G003260	Atru.chr1.426
Atru01G003270	Atru.chr1.427
Atru01G003280	Atru.chr1.428
Atru01G003290	Atru.chr1.429
Atru01G003300	Atru.chr1.430
Atru01G003310	Atru.chr1.431
Atru01G003320	Atru.chr1.433
Atru01G003330	Atru.chr1.434
Atru01G003340	Atru.chr1.436
Atru01G003350	Atru.chr1.438
Atru01G003360	Atru.chr1.439
Atru01G003370	Atru.chr1.440
Atru01G003380	Atru.chr1.441
Atru01G003390	Atru.chr1.442
Atru01G003400	Atru.chr1.443
Atru01G003410	Atru.chr1.444
Atru01G003420	Atru.chr1.445
Atru01G003430	Atru.chr1.446
Atru01G003440	Atru.chr1.447
Atru01G003450	Atru.chr1.448
Atru01G003460	Atru.chr1.450
Atru01G003470	Atru.chr1.452
Atru01G003480	Atru.BG.181.p
Atru01G003490	Atru.chr1.453
Atru01G003500	Atru.chr1.454
Atru01G003510	Atru.chr1.455
Atru01G003520	Atru.chr1.456
Atru01G003530	Atru.chr1.457
Atru01G003540	Atru.chr1.458
Atru01G003550	Atru.chr1.459
Atru01G003560	Atru.chr1.460
Atru01G003570	Atru.chr1.461
Atru01G003580	Atru.chr1.463
Atru01G003590	Atru.chr1.464
Atru01G003600	Atru.chr1.467
Atru01G003610	Atru.chr1.468
Atru01G003620	Atru.chr1.469
Atru01G003630	Atru.chr1.470
Atru01G003640	Atru.chr1.472
Atru01G003650	Atru.chr1.473
Atru01G003660	Atru.chr1.474_Atru.chr1.475
Atru01G003670	Atru.chr1.476
Atru01G003680	Atru.chr1.477_Atru.chr1.478
Atru01G003690	Atru.chr1.479.1
Atru01G003700	Atru.chr1.480
Atru01G003710	Atru.chr1.481
Atru01G003720	Atru.chr1.482
Atru01G003730	Atru.chr1.483.2
Atru01G003740	Atru.chr1.484
Atru01G003750	Atru.chr1.485
Atru01G003760	Atru.chr1.486
Atru01G003770	Atru.chr1.487
Atru01G003780	Atru.chr1.488
Atru01G003790	Atru.chr1.489
Atru01G003800	Atru.chr1.490
Atru01G003810	Atru.chr1.491
Atru01G003820	Atru.chr1.493
Atru01G003830	Atru.chr1.495
Atru01G003840	Atru.chr1.497
Atru01G003850	Atru.chr1.498
Atru01G003860	Atru.chr1.501
Atru01G003870	Atru.chr1.502
Atru01G003880	Atru.chr1.503
Atru01G003890	Atru.chr1.504
Atru01G003900	Atru.chr1.505
Atru01G003910	Atru.chr1.506
Atru01G003920	Atru.chr1.507
Atru01G003930	Atru.chr1.508
Atru01G003940	Atru.chr1.509
Atru01G003950	Atru.chr1.510
Atru01G003960	Atru.chr1.512
Atru01G003970	Atru.chr1.513
Atru01G003980	Atru.chr1.514
Atru01G003990	Atru.chr1.515
Atru01G004000	Atru.chr1.517
Atru01G004010	Atru.chr1.518
Atru01G004020	Atru.chr1.519
Atru01G004030	Atru.chr1.520
Atru01G004040	Atru.chr1.521
Atru01G004050	Atru.chr1.522
Atru01G004060	Atru.chr1.523
Atru01G004070	Atru.chr1.527
Atru01G004080	Atru.chr1.528
Atru01G004090	Atru.chr1.530
Atru01G004100	Atru.chr1.529
Atru01G004110	Atru.chr1.531
Atru01G004120	Atru.chr1.532
Atru01G004130	Atru.chr1.533
Atru01G004140	Atru.chr1.534
Atru01G004150	Atru.chr1.535
Atru01G004160	Atru.chr1.536
Atru01G004170	Atru.chr1.537
Atru01G004180	Atru.chr1.538
Atru01G004190	Atru.chr1.539
Atru01G004200	Atru.chr1.540
Atru01G004210	Atru.chr1.541
Atru01G004220	Atru.BG.173.p
Atru01G004230	Atru.chr1.542
Atru01G004240	Atru.BG.153.p
Atru01G004250	Atru.chr1.543
Atru01G004260	Atru.chr1.545
Atru01G004270	Atru.chr1.546
Atru01G004280	Atru.chr1.547
Atru01G004290	Atru.chr1.548
Atru01G004300	Atru.chr1.549
Atru01G004310	Atru.chr1.550
Atru01G004320	Atru.chr1.552
Atru01G004330	Atru.chr1.553
Atru01G004340	Atru.chr1.554
Atru01G004350	Atru.chr1.556
Atru01G004360	Atru.chr1.557
Atru01G004370	Atru.chr1.559
Atru01G004380	Atru.chr1.561
Atru01G004390	Atru.chr1.563
Atru01G004400	Atru.chr1.565
Atru01G004410	Atru.chr1.568
Atru01G004420	Atru.chr1.573
Atru01G004430	Atru.chr1.575
Atru01G004440	Atru.chr1.576
Atru01G004450	Atru.chr1.577
Atru01G004460	Atru.chr1.578
Atru01G004470	Atru.chr1.579
Atru01G004480	Atru.chr1.580
Atru01G004490	Atru.chr1.581
Atru01G004500	Atru.chr1.583
Atru01G004510	Atru.chr1.584
Atru01G004520	Atru.chr1.585.2
Atru01G004530	Atru.chr1.586
Atru01G004540	Atru.chr1.588
Atru01G004550	Atru.chr1.589
Atru01G004560	Atru.chr1.590
Atru01G004570	Atru.chr1.592
Atru01G004580	Atru.chr1.594
Atru01G004590	Atru.chr1.595
Atru01G004600	Atru.chr1.596
Atru01G004610	Atru.chr1.598
Atru01G004620	Atru.chr1.599
Atru01G004630	Atru.chr1.600
Atru01G004640	Atru.chr1.601
Atru01G004650	Atru.chr1.602
Atru01G004660	Atru.chr1.603
Atru01G004670	Atru.chr1.606
Atru01G004680	Atru.chr1.607
Atru01G004690	Atru.chr1.608
Atru01G004700	Atru.chr1.609
Atru01G004710	Atru.chr1.610
Atru01G004720	Atru.chr1.611
Atru01G004730	Atru.chr1.612
Atru01G004740	Atru.chr1.613.1
Atru01G004750	Atru.chr1.614
Atru01G004760	Atru.chr1.615
Atru01G004770	Atru.chr1.616
Atru01G004780	Atru.chr1.617
Atru01G004790	Atru.chr1.618
Atru01G004800	Atru.chr1.619
Atru01G004810	Atru.chr1.620
Atru01G004820	Atru.chr1.621
Atru01G004830	Atru.chr1.622
Atru01G004840	Atru.chr1.623
Atru01G004850	Atru.chr1.624
Atru01G004860	Atru.chr1.625
Atru01G004870	Atru.chr1.628
Atru01G004880	Atru.chr1.630.1
Atru01G004890	Atru.chr1.632
Atru01G004900	Atru.chr1.633
Atru01G004910	Atru.chr1.634
Atru01G004920	Atru.chr1.635
Atru01G004930	Atru.chr1.636
Atru01G004940	Atru.chr1.637
Atru01G004950	Atru.chr1.638
Atru01G004960	Atru.chr1.639
Atru01G004970	Atru.chr1.640
Atru01G004980	Atru.chr1.641
Atru01G004990	Atru.chr1.644
Atru01G005000	Atru.chr1.645
Atru01G005010	Atru.chr1.646
Atru01G005020	Atru.chr1.647
Atru01G005030	Atru.chr1.649
Atru01G005040	Atru.chr1.650
Atru01G005050	Atru.chr1.651
Atru01G005060	Atru.chr1.653
Atru01G005070	Atru.chr1.654
Atru01G005080	Atru.chr1.659
Atru01G005090	Atru.chr1.660
Atru01G005100	Atru.chr1.661
Atru01G005110	Atru.chr1.663
Atru01G005120	Atru.chr1.664
Atru01G005130	Atru.chr1.665
Atru01G005140	Atru.chr1.666
Atru01G005150	Atru.chr1.667
Atru01G005160	Atru.chr1.668
Atru01G005170	Atru.chr1.669
Atru01G005180	Atru.chr1.670
Atru01G005190	Atru.chr1.671
Atru01G005200	Atru.chr1.672
Atru01G005210	Atru.chr1.673
Atru01G005220	Atru.chr1.674
Atru01G005230	Atru.chr1.675
Atru01G005240	Atru.chr1.676
Atru01G005250	Atru.chr1.677
Atru01G005260	Atru.chr1.678
Atru01G005270	Atru.chr1.679
Atru01G005280	Atru.chr1.680
Atru01G005290	Atru.chr1.681
Atru01G005300	Atru.chr1.682
Atru01G005310	Atru.chr1.683
Atru01G005320	Atru.chr1.687
Atru01G005330	Atru.chr1.688
Atru01G005340	Atru.chr1.689
Atru01G005350	Atru.chr1.690
Atru01G005360	Atru.chr1.691
Atru01G005370	Atru.chr1.692
Atru01G005380	Atru.chr1.693
Atru01G005390	Atru.chr1.694
Atru01G005400	Atru.chr1.695
Atru01G005410	Atru.chr1.696
Atru01G005420	Atru.chr1.698
Atru01G005430	Atru.chr1.699
Atru01G005440	Atru.chr1.704
Atru01G005450	Atru.chr1.705
Atru01G005460	Atru.chr1.706
Atru01G005470	Atru.chr1.707
Atru01G005480	Atru.chr1.709
Atru01G005490	Atru.chr1.711
Atru01G005500	Atru.chr1.712
Atru01G005510	Atru.chr1.713
Atru01G005520	Atru.chr1.714
Atru01G005530	Atru.chr1.716
Atru01G005540	Atru.chr1.718
Atru01G005550	Atru.chr1.719
Atru01G005560	Atru.chr1.722
Atru01G005570	Atru.chr1.723
Atru01G005580	Atru.chr1.724
Atru01G005590	Atru.chr1.725
Atru01G005600	Atru.chr1.726
Atru01G005610	Atru.chr1.727
Atru01G005620	Atru.chr1.728
Atru01G005630	Atru.chr1.729
Atru01G005640	Atru.chr1.731
Atru01G005650	Atru.chr1.732
Atru01G005660	Atru.chr1.733
Atru01G005670	Atru.chr1.735
Atru01G005680	Atru.chr1.736
Atru01G005690	Atru.chr1.737
Atru01G005700	Atru.chr1.738
Atru01G005710	Atru.chr1.739
Atru01G005720	Atru.chr1.742
Atru01G005730	Atru.chr1.745_Atru.chr1.746
Atru01G005740	Atru.chr1.747
Atru01G005750	Atru.chr1.752
Atru01G005760	Atru.chr1.753
Atru01G005770	Atru.chr1.754
Atru01G005780	Atru.chr1.755
Atru01G005790	Atru.chr1.756
Atru01G005800	Atru.chr1.759
Atru01G005810	Atru.chr1.760
Atru01G005820	Atru.chr1.763
Atru01G005830	Atru.chr1.764
Atru01G005840	Atru.chr1.767
Atru01G005850	Atru.chr1.768
Atru01G005860	Atru.chr1.769
Atru01G005870	Atru.chr1.772
Atru01G005880	Atru.chr1.776
Atru01G005890	Atru.chr1.778
Atru01G005900	Atru.chr1.779
Atru01G005910	Atru.chr1.787
Atru01G005920	Atru.chr1.792
Atru01G005930	Atru.chr1.794
Atru01G005940	Atru.chr1.805
Atru01G005950	Atru.chr1.809
Atru01G005960	Atru.chr1.815
Atru01G005970	Atru.chr1.817
Atru01G005980	Atru.chr1.818
Atru01G005990	Atru.chr1.819
Atru01G006000	Atru.chr1.820
Atru01G006010	Atru.chr1.821
Atru01G006020	Atru.chr1.825
Atru01G006030	Atru.chr1.827
Atru01G006040	Atru.chr1.828
Atru01G006050	Atru.chr1.829
Atru01G006060	Atru.chr1.833
Atru01G006070	Atru.chr1.834
Atru01G006080	Atru.chr1.835
Atru01G006090	Atru.chr1.842
Atru01G006100	Atru.chr1.843
Atru01G006110	Atru.chr1.844
Atru01G006120	Atru.chr1.845
Atru01G006130	Atru.chr1.846
Atru01G006140	Atru.chr1.847
Atru01G006150	Atru.chr1.848
Atru01G006160	Atru.chr1.849
Atru01G006170	Atru.chr1.850
Atru01G006180	Atru.chr1.851
Atru01G006190	Atru.chr1.852
Atru01G006200	Atru.chr1.855
Atru01G006210	Atru.chr1.857
Atru01G006220	Atru.chr1.858_Atru.chr1.859
Atru01G006230	Atru.chr1.860
Atru01G006240	Atru.chr1.861_Atru.chr1.862
Atru01G006250	Atru.chr1.863
Atru01G006260	Atru.chr1.864
Atru01G006270	Atru.chr1.865
Atru01G006280	Atru.chr1.866
Atru01G006290	Atru.chr1.867
Atru01G006300	Atru.chr1.869
Atru01G006310	Atru.chr1.870
Atru01G006320	Atru.chr1.872
Atru01G006330	Atru.chr1.873
Atru01G006340	Atru.chr1.874
Atru01G006350	Atru.chr1.875
Atru01G006360	Atru.chr1.876.1
Atru01G006370	Atru.chr1.877
Atru01G006380	Atru.chr1.878
Atru01G006390	Atru.chr1.881
Atru01G006400	Atru.chr1.883
Atru01G006410	Atru.chr1.884
Atru01G006420	Atru.chr1.886
Atru01G006430	Atru.chr1.887
Atru01G006440	Atru.chr1.888
Atru01G006450	Atru.chr1.889
Atru01G006460	Atru.chr1.891
Atru01G006470	Atru.chr1.892
Atru01G006480	Atru.chr1.895
Atru01G006490	Atru.chr1.897
Atru01G006500	Atru.chr1.898
Atru01G006510	Atru.chr1.900
Atru01G006520	Atru.chr1.902
Atru01G006530	Atru.chr1.903
Atru01G006540	Atru.chr1.904
Atru01G006550	Atru.chr1.907
Atru01G006560	Atru.chr1.908
Atru01G006570	Atru.chr1.909
Atru01G006580	Atru.chr1.910
Atru01G006590	Atru.chr1.911
Atru01G006600	Atru.chr1.913
Atru01G006610	Atru.chr1.914
Atru01G006620	Atru.chr1.915
Atru01G006630	Atru.BG.174.p
Atru01G006640	Atru.chr1.917
Atru01G006650	Atru.chr1.918
Atru01G006660	Atru.chr1.919
Atru01G006670	Atru.chr1.920
Atru01G006680	Atru.chr1.921
Atru01G006690	Atru.chr1.922
Atru01G006700	Atru.chr1.923
Atru01G006710	Atru.chr1.924
Atru01G006720	Atru.chr1.925
Atru01G006730	Atru.chr1.926
Atru01G006740	Atru.chr1.927
Atru01G006750	Atru.chr1.928
Atru01G006760	Atru.chr1.929
Atru01G006770	Atru.chr1.931
Atru01G006780	Atru.chr1.932
Atru01G006790	Atru.chr1.934
Atru01G006800	Atru.chr1.935
Atru01G006810	Atru.chr1.936
Atru01G006820	Atru.chr1.937
Atru01G006830	Atru.chr1.938
Atru01G006840	Atru.chr1.939
Atru01G006850	Atru.chr1.940
Atru01G006860	Atru.chr1.941
Atru01G006870	Atru.chr1.942
Atru01G006880	Atru.chr1.943
Atru01G006890	Atru.chr1.944
Atru01G006900	Atru.chr1.945
Atru01G006910	Atru.chr1.946
Atru01G006920	Atru.chr1.947
Atru01G006930	Atru.chr1.948
Atru01G006940	Atru.chr1.949
Atru01G006950	Atru.chr1.950
Atru01G006960	Atru.chr1.951
Atru01G006970	Atru.chr1.953
Atru01G006980	Atru.chr1.954
Atru01G006990	Atru.chr1.956
Atru01G007000	Atru.chr1.959
Atru01G007010	Atru.chr1.960
Atru01G007020	Atru.chr1.966
Atru01G007030	Atru.chr1.967
Atru01G007040	Atru.chr1.970
Atru01G007050	Atru.chr1.971
Atru01G007060	Atru.chr1.974
Atru01G007070	Atru.chr1.975
Atru01G007080	Atru.chr1.976
Atru01G007090	Atru.chr1.977
Atru01G007100	Atru.chr1.978
Atru01G007110	Atru.chr1.979
Atru01G007120	Atru.chr1.980
Atru01G007130	Atru.chr1.984
Atru01G007140	Atru.chr1.985
Atru01G007150	Atru.chr1.988
Atru01G007160	Atru.chr1.995
Atru01G007170	Atru.chr1.996
Atru01G007180	Atru.chr1.998
Atru01G007190	Atru.chr1.999
Atru01G007200	Atru.chr1.1003
Atru01G007210	Atru.chr1.1005
Atru01G007220	Atru.chr1.1006
Atru01G007230	Atru.chr1.1007
Atru01G007240	Atru.chr1.1008
Atru01G007250	Atru.chr1.1009
Atru01G007260	Atru.chr1.1010
Atru01G007270	Atru.chr1.1011
Atru01G007280	Atru.chr1.1012
Atru01G007290	Atru.chr1.1013.4
Atru01G007300	Atru.chr1.1014
Atru01G007310	Atru.chr1.1016
Atru01G007320	Atru.chr1.1018
Atru01G007330	Atru.chr1.1024
Atru01G007340	Atru.chr1.1025
Atru01G007350	Atru.chr1.1027
Atru01G007360	Atru.chr1.1028
Atru01G007370	Atru.chr1.1029
Atru01G007380	Atru.chr1.1030
Atru01G007390	Atru.chr1.1031
Atru01G007400	Atru.chr1.1032
Atru01G007410	Atru.chr1.1035
Atru01G007420	Atru.chr1.1036
Atru01G007430	Atru.chr1.1037
Atru01G007440	Atru.chr1.1038
Atru01G007450	Atru.chr1.1039
Atru01G007460	Atru.chr1.1041
Atru01G007470	Atru.chr1.1042
Atru01G007480	Atru.chr1.1043
Atru01G007490	Atru.chr1.1044
Atru01G007500	Atru.chr1.1046
Atru01G007510	Atru.chr1.1047
Atru01G007520	Atru.chr1.1048
Atru01G007530	Atru.chr1.1052
Atru01G007540	Atru.chr1.1053
Atru01G007550	Atru.chr1.1054
Atru01G007560	Atru.chr1.1055.3
Atru01G007570	Atru.chr1.1056
Atru01G007580	Atru.chr1.1057
Atru01G007590	Atru.chr1.1058.1
Atru01G007600	Atru.chr1.1059
Atru01G007610	Atru.chr1.1060
Atru01G007620	Atru.chr1.1063
Atru01G007630	Atru.chr1.1064
Atru01G007640	Atru.chr1.1065
Atru01G007650	Atru.chr1.1068
