Asac12G016960.1	ACSA_00001
Asac13G022370.1	ACSA_00186
Asac08G015870.1	ACSA_00187
Asac09G008870.1	ACSA_00188
Asac029S000010.1	ACSA_00189
Asac10G001510.1	ACSA_00190
Asac09G003560.1	ACSA_00191
Asac06G000580.1	ACSA_00192
Asac01G009650.1	ACSA_00193
Asac10G004590.1	ACSA_00194
Asac04G019190.1	ACSA_00195
Asac03G027440.1	ACSA_00196
Asac10G011510.1	ACSA_00197
Asac12G005750.1	ACSA_00198
Asac03G024520.1	ACSA_00199
Asac04G014460.1	ACSA_00200
Asac02G003760.1	ACSA_00201
Asac02G019690.1	ACSA_00202
Asac12G015380.1	ACSA_00203
Asac267S000020.1	ACSA_00204
Asac03G010460.1	ACSA_00205
Asac01G010170.1	ACSA_00206
Asac10G005350.1	ACSA_00207
Asac05G033830.1	ACSA_00208
Asac08G006120.1	ACSA_00209
Asac02G024110.1	ACSA_00210
Asac10G003370.1	ACSA_00211
Asac10G001560.1	ACSA_00212
Asac08G017210.1	ACSA_00213
Asac02G026050.1	ACSA_00214
Asac03G019740.1	ACSA_00215
Asac04G005710.1	ACSA_00216
Asac09G006200.1	ACSA_00217
Asac11G001070.1	ACSA_00218
Asac07G016100.1	ACSA_00219
Asac01G030200.1	ACSA_00220
Asac03G004370.1	ACSA_00221
Asac07G004670.1	ACSA_00222
Asac09G027470.1	ACSA_00223
Asac10G025510.1	ACSA_00224
Asac373S000110.1	ACSA_00225
Asac06G001280.1	ACSA_00226
Asac04G023320.1	ACSA_00227
Asac03G020710.1	ACSA_00228
Asac10G005130.1	ACSA_00229
Asac01G036140.1	ACSA_00230
Asac01G029830.1	ACSA_00231
Asac05G000920.1	ACSA_00232
Asac12G003080.1	ACSA_00233
Asac01G006800.1	ACSA_00234
Asac09G019040.1	ACSA_00235
Asac05G014340.1	ACSA_00236
Asac06G012300.1	ACSA_00237
Asac13G006600.1	ACSA_00238
Asac01G038910.1	ACSA_00239
Asac04G011500.1	ACSA_00240
Asac04G003490.1	ACSA_00241
Asac07G012220.1	ACSA_00242
Asac01G009840.1	ACSA_00243
Asac04G019180.1	ACSA_00244
Asac08G023960.1	ACSA_00245
Asac06G000260.1	ACSA_00246
Asac04G024700.1	ACSA_00247
Asac115S000020.1	ACSA_00248
Asac05G028790.1	ACSA_00249
Asac13G004010.1	ACSA_00250
Asac01G042080.1	ACSA_00251
Asac03G025010.1	ACSA_00252
Asac02G030860.1	ACSA_00253
Asac01G023240.1	ACSA_00254
Asac01G022070.1	ACSA_00255
Asac08G015940.1	ACSA_00256
Asac06G010780.1	ACSA_00257
Asac02G037060.1	ACSA_00258
Asac12G018890.1	ACSA_00259
Asac06G011290.1	ACSA_00260
Asac06G014750.1	ACSA_00261
Asac04G015780.1	ACSA_00262
Asac13G021570.1	ACSA_00263
Asac03G006630.1	ACSA_00264
Asac04G021450.1	ACSA_00265
Asac01G002180.1	ACSA_00266
Asac09G009990.1	ACSA_00267
Asac01G034380.1	ACSA_00268
Asac01G018250.1	ACSA_00269
Asac02G007580.1	ACSA_00270
Asac06G007630.1	ACSA_00271
Asac02G028600.1	ACSA_00272
Asac08G006360.1	ACSA_00273
Asac09G003500.1	ACSA_00274
Asac04G015750.1	ACSA_00275
Asac13G007390.1	ACSA_00276
Asac09G027600.1	ACSA_00277
Asac04G001460.1	ACSA_00278
Asac08G022420.1	ACSA_00279
Asac01G035540.1	ACSA_00280
Asac07G001650.1	ACSA_00281
Asac08G016060.1	ACSA_00282
Asac06G018420.1	ACSA_00283
Asac02G036830.1	ACSA_00284
Asac05G008740.1	ACSA_00285
Asac05G011990.1	ACSA_00286
Asac10G017670.1	ACSA_00287
Asac12G005100.1	ACSA_00288
Asac05G025650.1	ACSA_00289
Asac05G021380.1	ACSA_00290
Asac03G010210.1	ACSA_00291
Asac13G009080.1	ACSA_00292
Asac05G024220.1	ACSA_00293
Asac10G008550.1	ACSA_00294
Asac09G024380.1	ACSA_00295
Asac01G022110.1	ACSA_00296
Asac09G005290.1	ACSA_00297
Asac02G014140.1	ACSA_00298
Asac08G021310.1	ACSA_00299
Asac09G004580.1	ACSA_00300
Asac06G010100.1	ACSA_00301
Asac10G016740.1	ACSA_00302
Asac02G017670.1	ACSA_00303
Asac13G019970.1	ACSA_00304
Asac11G013300.1	ACSA_00305
Asac05G005800.1	ACSA_00306
Asac04G018080.1	ACSA_00307
Asac13G012850.1	ACSA_00308
Asac11G010020.1	ACSA_00309
Asac07G001000.1	ACSA_00310
Asac08G026010.1	ACSA_00311
Asac07G017520.1	ACSA_00312
Asac03G030700.1	ACSA_00313
Asac03G010510.1	ACSA_00314
Asac07G023620.1	ACSA_00315
Asac10G024810.1	ACSA_00316
Asac02G031250.1	ACSA_00317
Asac11G005700.1	ACSA_00318
Asac04G023070.1	ACSA_00319
Asac13G019690.1	ACSA_00320
Asac08G016720.1	ACSA_00321
Asac04G011050.1	ACSA_00322
Asac07G008890.1	ACSA_00323
Asac10G012210.1	ACSA_00324
Asac239S000040.1	ACSA_00325
Asac10G023910.1	ACSA_00326
Asac01G014190.1	ACSA_00327
Asac05G027110.1	ACSA_00328
Asac01G016140.1	ACSA_00329
Asac097S000050.1	ACSA_00330
Asac08G016020.1	ACSA_00331
Asac07G008070.1	ACSA_00332
Asac03G008250.1	ACSA_00333
Asac09G010320.1	ACSA_00334
Asac05G028100.1	ACSA_00335
Asac05G009200.1	ACSA_00336
Asac03G007030.1	ACSA_00337
Asac12G023800.1	ACSA_00338
Asac08G005670.1	ACSA_00339
Asac01G012840.1	ACSA_00340
Asac222S000030.1	ACSA_00341
Asac08G011850.1	ACSA_00342
Asac03G002920.1	ACSA_00343
Asac07G003810.1	ACSA_00344
Asac03G004380.1	ACSA_00345
Asac08G013570.1	ACSA_00346
Asac12G018590.1	ACSA_00347
Asac02G000620.1	ACSA_00348
Asac07G000960.1	ACSA_00349
Asac02G020990.1	ACSA_00350
Asac02G042370.1	ACSA_00351
Asac03G010340.1	ACSA_00352
Asac13G006340.1	ACSA_00353
Asac01G028410.1	ACSA_00354
Asac01G021720.1	ACSA_00355
Asac05G016420.1	ACSA_00356
Asac243S000030.1	ACSA_00357
Asac12G021670.1	ACSA_00358
Asac06G016900.1	ACSA_00359
Asac11G001920.1	ACSA_00360
Asac12G010750.1	ACSA_00361
Asac04G013200.1	ACSA_00362
Asac03G030160.1	ACSA_00363
Asac11G009490.1	ACSA_00364
Asac05G019570.1	ACSA_00365
Asac07G004110.1	ACSA_00366
Asac02G007460.1	ACSA_00367
Asac01G012510.1	ACSA_00368
Asac02G023390.1	ACSA_00369
Asac01G031180.1	ACSA_00370
Asac06G023540.1	ACSA_00371
Asac09G005830.1	ACSA_00372
Asac12G020580.1	ACSA_00373
Asac09G016630.1	ACSA_00374
Asac12G024540.1	ACSA_00375
Asac12G019130.1	ACSA_00376
Asac11G011970.1	ACSA_00377
Asac03G027160.1	ACSA_00378
Asac11G020310.1	ACSA_00379
Asac05G024420.1	ACSA_00380
Asac11G009980.1	ACSA_00381
Asac11G001450.1	ACSA_00382
Asac06G018370.1	ACSA_00383
Asac01G033010.1	ACSA_00384
Asac06G016490.1	ACSA_00385
Asac05G016660.1	ACSA_00386
Asac05G024470.1	ACSA_00387
Asac03G033940.1	ACSA_00388
Asac11G002890.1	ACSA_00389
Asac06G005150.1	ACSA_00390
Asac05G017350.1	ACSA_00391
Asac03G023490.1	ACSA_00392
Asac04G009220.1	ACSA_00393
Asac01G003500.1	ACSA_00394
Asac126S000040.1	ACSA_00395
Asac02G017710.1	ACSA_00396
Asac13G000290.1	ACSA_00397
Asac05G013190.1	ACSA_00398
Asac01G035970.1	ACSA_00399
Asac09G014480.1	ACSA_00400
Asac03G027330.1	ACSA_00401
Asac11G006970.1	ACSA_00402
Asac09G018800.1	ACSA_00403
Asac04G009800.1	ACSA_00404
Asac10G004170.1	ACSA_00405
Asac04G007100.1	ACSA_00406
Asac13G020190.1	ACSA_00407
Asac03G015960.1	ACSA_00408
Asac03G030970.1	ACSA_00409
Asac08G014410.1	ACSA_00410
Asac02G029160.1	ACSA_00411
Asac12G006320.1	ACSA_00412
Asac10G001480.1	ACSA_00413
Asac13G022290.1	ACSA_00414
Asac13G011330.1	ACSA_00415
Asac06G019870.1	ACSA_00416
Asac07G024460.1	ACSA_00417
Asac02G013070.1	ACSA_00418
Asac09G015140.1	ACSA_00419
Asac13G016720.1	ACSA_00420
Asac01G014410.1	ACSA_00421
Asac10G015670.1	ACSA_00422
Asac05G031160.1	ACSA_00423
Asac07G019810.1	ACSA_00424
Asac07G004240.1	ACSA_00425
Asac025S000010.1	ACSA_00426
Asac02G028530.1	ACSA_00427
Asac09G020310.1	ACSA_00428
Asac03G027230.1	ACSA_00429
Asac04G001200.1	ACSA_00430
Asac03G005970.1	ACSA_00431
Asac106S000020.1	ACSA_00432
Asac09G017080.1	ACSA_00433
Asac10G019310.1	ACSA_00434
Asac05G015360.1	ACSA_00435
Asac05G006300.1	ACSA_00436
Asac11G017600.1	ACSA_00437
Asac13G006810.1	ACSA_00438
Asac03G011890.1	ACSA_00439
Asac04G018040.1	ACSA_00440
Asac13G012260.1	ACSA_00441
Asac04G021120.1	ACSA_00442
Asac13G010320.1	ACSA_00443
Asac06G017410.1	ACSA_00444
Asac02G033990.1	ACSA_00445
Asac12G013320.1	ACSA_00446
Asac03G016060.1	ACSA_00447
Asac11G000550.1	ACSA_00448
Asac10G018840.1	ACSA_00449
Asac02G012190.1	ACSA_00450
Asac03G000720.1	ACSA_00451
Asac12G007510.1	ACSA_00452
Asac09G006390.1	ACSA_00453
Asac02G038100.1	ACSA_00454
Asac11G008820.1	ACSA_00455
Asac03G000790.1	ACSA_00456
Asac03G029160.1	ACSA_00457
Asac05G034600.1	ACSA_00458
Asac01G036630.1	ACSA_00459
Asac08G002370.1	ACSA_00460
Asac10G006680.1	ACSA_00461
Asac13G015190.1	ACSA_00462
Asac13G007410.1	ACSA_00463
Asac07G002110.1	ACSA_00464
Asac10G001280.1	ACSA_00465
Asac05G007380.1	ACSA_00466
Asac05G028200.1	ACSA_00467
Asac01G014680.1	ACSA_00468
Asac02G033140.1	ACSA_00469
Asac02G026310.1	ACSA_00470
Asac12G013280.1	ACSA_00471
Asac02G000560.1	ACSA_00472
Asac02G013440.1	ACSA_00473
Asac13G004500.1	ACSA_00474
Asac02G001740.1	ACSA_00475
Asac04G002040.1	ACSA_00476
Asac05G021840.1	ACSA_00477
Asac09G024900.1	ACSA_00478
Asac05G033160.1	ACSA_00479
Asac12G009070.1	ACSA_00480
Asac12G009050.1	ACSA_00481
Asac05G005850.1	ACSA_00482
Asac07G016280.1	ACSA_00483
Asac01G025130.1	ACSA_00484
Asac13G002010.1	ACSA_00485
Asac143S000010.1	ACSA_00486
Asac10G021130.1	ACSA_00487
Asac11G002470.1	ACSA_00488
Asac09G025430.1	ACSA_00489
Asac05G005960.1	ACSA_00490
Asac02G041600.1	ACSA_00491
Asac11G005410.1	ACSA_00492
Asac01G025250.1	ACSA_00493
Asac10G003550.1	ACSA_00494
Asac06G017230.1	ACSA_00495
Asac06G009380.1	ACSA_00496
Asac13G021300.1	ACSA_00497
Asac11G008450.1	ACSA_00498
Asac09G025460.1	ACSA_00499
Asac04G021960.1	ACSA_00500
Asac06G021770.1	ACSA_00501
Asac10G005970.1	ACSA_00502
Asac03G019870.1	ACSA_00503
Asac11G012400.1	ACSA_00504
Asac12G018040.1	ACSA_00505
Asac07G021260.1	ACSA_00506
Asac10G020860.1	ACSA_00507
Asac03G014210.1	ACSA_00508
Asac01G029570.1	ACSA_00509
Asac04G008970.1	ACSA_00510
Asac02G037390.1	ACSA_00511
Asac08G021810.1	ACSA_00512
Asac02G018140.1	ACSA_00513
Asac13G020110.1	ACSA_00514
Asac13G019960.1	ACSA_00515
Asac015S000100.1	ACSA_00516
Asac03G017180.1	ACSA_00517
Asac04G018430.1	ACSA_00518
Asac02G032060.1	ACSA_00519
Asac03G019940.1	ACSA_00520
Asac05G033070.1	ACSA_00521
Asac05G033010.1	ACSA_00522
Asac10G017270.1	ACSA_00523
Asac11G017540.1	ACSA_00524
Asac08G017920.1	ACSA_00525
Asac04G018140.1	ACSA_00526
Asac04G008890.1	ACSA_00527
Asac04G016260.1	ACSA_00528
Asac10G011000.1	ACSA_00529
Asac02G041890.1	ACSA_00530
Asac12G022550.1	ACSA_00531
Asac12G014740.1	ACSA_00532
Asac11G001280.1	ACSA_00533
Asac05G004060.1	ACSA_00534
Asac06G015110.1	ACSA_00535
Asac01G038640.1	ACSA_00536
Asac10G024190.1	ACSA_00537
Asac08G003980.1	ACSA_00538
Asac028S000210.1	ACSA_00539
Asac10G005210.1	ACSA_00540
Asac04G024950.1	ACSA_00541
Asac09G012640.1	ACSA_00542
Asac04G002210.1	ACSA_00543
Asac03G002400.1	ACSA_00544
Asac03G010450.1	ACSA_00545
Asac06G019640.1	ACSA_00546
Asac01G034030.1	ACSA_00547
Asac01G017090.1	ACSA_00548
Asac03G009030.1	ACSA_00549
Asac025S000090.1	ACSA_00550
Asac07G008360.1	ACSA_00551
Asac02G041750.1	ACSA_00552
Asac05G020100.1	ACSA_00553
Asac04G024150.1	ACSA_00554
Asac05G007220.1	ACSA_00555
Asac05G007810.1	ACSA_00556
Asac05G031870.1	ACSA_00557
Asac01G014370.1	ACSA_00558
Asac10G005520.1	ACSA_00559
Asac09G027070.1	ACSA_00560
Asac03G010040.1	ACSA_00561
Asac04G022560.1	ACSA_00562
Asac09G025560.1	ACSA_00563
Asac12G010190.1	ACSA_00564
Asac13G011540.1	ACSA_00565
Asac13G018400.1	ACSA_00566
Asac12G001840.1	ACSA_00567
Asac07G017780.1	ACSA_00568
Asac11G020570.1	ACSA_00569
Asac05G012650.1	ACSA_00570
Asac02G004090.1	ACSA_00571
Asac04G022180.1	ACSA_00572
Asac05G006790.1	ACSA_00573
Asac05G012280.1	ACSA_00574
Asac05G018340.1	ACSA_00575
Asac10G022900.1	ACSA_00576
Asac11G002180.1	ACSA_00577
Asac03G003720.1	ACSA_00578
Asac05G021620.1	ACSA_00579
Asac01G008550.1	ACSA_00580
Asac03G002020.1	ACSA_00581
Asac04G021420.1	ACSA_00582
Asac03G029520.1	ACSA_00583
Asac11G013620.1	ACSA_00584
Asac08G003570.1	ACSA_00585
Asac12G009280.1	ACSA_00586
Asac02G028870.1	ACSA_00587
Asac03G016900.1	ACSA_00588
Asac01G025900.1	ACSA_00589
Asac07G012910.1	ACSA_00590
Asac01G025410.1	ACSA_00591
Asac09G008770.1	ACSA_00592
Asac01G011550.1	ACSA_00593
Asac12G019720.1	ACSA_00594
Asac02G020510.1	ACSA_00595
Asac02G022220.1	ACSA_00596
Asac10G011890.1	ACSA_00597
Asac07G006820.1	ACSA_00598
Asac09G017750.1	ACSA_00599
Asac167S000040.1	ACSA_00600
Asac04G025230.1	ACSA_00601
Asac02G004010.1	ACSA_00602
Asac10G016750.1	ACSA_00603
Asac10G003430.1	ACSA_00604
Asac01G025470.1	ACSA_00605
Asac02G013770.1	ACSA_00606
Asac07G002730.1	ACSA_00607
Asac141S000030.1	ACSA_00608
Asac03G018640.1	ACSA_00609
Asac02G039780.1	ACSA_00610
Asac05G010060.1	ACSA_00611
Asac02G007930.1	ACSA_00612
Asac180S000130.1	ACSA_00613
Asac03G003540.1	ACSA_00614
Asac06G007690.1	ACSA_00615
Asac11G004160.1	ACSA_00616
Asac01G021190.1	ACSA_00617
Asac05G014330.1	ACSA_00618
Asac10G012690.1	ACSA_00619
Asac10G016050.1	ACSA_00620
Asac02G020560.1	ACSA_00621
Asac04G010400.1	ACSA_00622
Asac04G005860.1	ACSA_00623
Asac247S000020.1	ACSA_00624
Asac09G009050.1	ACSA_00625
Asac13G012160.1	ACSA_00626
Asac09G015110.1	ACSA_00627
Asac01G002330.1	ACSA_00628
Asac09G023150.1	ACSA_00629
Asac01G038520.1	ACSA_00630
Asac12G018440.1	ACSA_00631
Asac09G016840.1	ACSA_00632
Asac13G015720.1	ACSA_00633
Asac05G022810.1	ACSA_00634
Asac07G009820.1	ACSA_00635
Asac03G015080.1	ACSA_00636
Asac01G008670.1	ACSA_00637
Asac10G014250.1	ACSA_00638
Asac01G029510.1	ACSA_00639
Asac08G022350.1	ACSA_00640
Asac11G003950.1	ACSA_00641
Asac01G042450.1	ACSA_00642
Asac04G015640.1	ACSA_00643
Asac05G014290.1	ACSA_00644
Asac10G008850.1	ACSA_00645
Asac04G022900.1	ACSA_00646
Asac08G011990.1	ACSA_00647
Asac006S000010.1	ACSA_00648
Asac02G040040.1	ACSA_00649
Asac06G019550.1	ACSA_00650
Asac12G011020.1	ACSA_00651
Asac03G017330.1	ACSA_00652
Asac12G012540.1	ACSA_00653
Asac09G002230.1	ACSA_00654
Asac10G024580.1	ACSA_00655
Asac02G026270.1	ACSA_00656
Asac03G017480.1	ACSA_00657
Asac01G032860.1	ACSA_00658
Asac04G014150.1	ACSA_00659
Asac07G013780.1	ACSA_00660
Asac06G008440.1	ACSA_00661
Asac13G015710.1	ACSA_00662
Asac12G022030.1	ACSA_00663
Asac02G023050.1	ACSA_00664
Asac05G017090.1	ACSA_00665
Asac12G017270.1	ACSA_00666
Asac08G008600.1	ACSA_00667
Asac12G015690.1	ACSA_00668
Asac06G000320.1	ACSA_00669
Asac13G006920.1	ACSA_00670
Asac03G021070.1	ACSA_00671
Asac04G015560.1	ACSA_00672
Asac12G010020.1	ACSA_00673
Asac11G007830.1	ACSA_00674
Asac02G020460.1	ACSA_00675
Asac11G017220.1	ACSA_00676
Asac03G023410.1	ACSA_00677
Asac114S000020.1	ACSA_00678
Asac05G006860.1	ACSA_00679
Asac07G002570.1	ACSA_00680
Asac08G012090.1	ACSA_00681
Asac04G024470.1	ACSA_00682
Asac12G008390.1	ACSA_00683
Asac03G021120.1	ACSA_00684
Asac10G007920.1	ACSA_00685
Asac05G023660.1	ACSA_00686
Asac03G032950.1	ACSA_00687
Asac13G013030.1	ACSA_00688
Asac13G013950.1	ACSA_00689
Asac12G002040.1	ACSA_00690
Asac03G034230.1	ACSA_00691
Asac029S000070.1	ACSA_00692
Asac02G026480.1	ACSA_00693
Asac01G004970.1	ACSA_00694
Asac04G018560.1	ACSA_00695
Asac01G035550.1	ACSA_00696
Asac102S000030.1	ACSA_00697
Asac03G032980.1	ACSA_00698
Asac09G013030.1	ACSA_00699
Asac09G013830.1	ACSA_00700
Asac02G023160.1	ACSA_00701
Asac01G026530.1	ACSA_00702
Asac05G011820.1	ACSA_00703
Asac02G021250.1	ACSA_00704
Asac04G017270.1	ACSA_00705
Asac08G014800.1	ACSA_00706
Asac06G004760.1	ACSA_00707
Asac09G004570.1	ACSA_00708
Asac302S000020.1	ACSA_00709
Asac07G007400.1	ACSA_00710
Asac02G013740.1	ACSA_00711
Asac03G019220.1	ACSA_00712
Asac13G007890.1	ACSA_00713
Asac08G003210.1	ACSA_00714
Asac10G002520.1	ACSA_00715
Asac12G007050.1	ACSA_00716
Asac172S000010.1	ACSA_00717
Asac02G021860.1	ACSA_00718
Asac09G027210.1	ACSA_00719
Asac01G010980.1	ACSA_00720
Asac12G009600.1	ACSA_00721
Asac02G037310.1	ACSA_00722
Asac04G011450.1	ACSA_00723
Asac09G029090.1	ACSA_00724
Asac05G009730.1	ACSA_00725
Asac12G005060.1	ACSA_00726
Asac05G031050.1	ACSA_00727
Asac13G000590.1	ACSA_00728
Asac05G004910.1	ACSA_00729
Asac06G021730.1	ACSA_00730
Asac04G008420.1	ACSA_00731
Asac010S000090.1	ACSA_00732
Asac02G019660.1	ACSA_00733
Asac05G024460.1	ACSA_00734
Asac13G019480.1	ACSA_00735
Asac06G005860.1	ACSA_00736
Asac11G016640.1	ACSA_00737
Asac02G017470.1	ACSA_00738
Asac04G009100.1	ACSA_00739
Asac06G010060.1	ACSA_00740
Asac12G023690.1	ACSA_00741
Asac02G016800.1	ACSA_00742
Asac02G030430.1	ACSA_00743
Asac07G015440.1	ACSA_00744
Asac09G025730.1	ACSA_00745
Asac03G014880.1	ACSA_00746
Asac05G011540.1	ACSA_00747
Asac06G012160.1	ACSA_00748
Asac01G026650.1	ACSA_00749
Asac08G010680.1	ACSA_00750
Asac13G018190.1	ACSA_00751
Asac11G021580.1	ACSA_00752
Asac11G013150.1	ACSA_00753
Asac07G022040.1	ACSA_00754
Asac13G014970.1	ACSA_00755
Asac13G014050.1	ACSA_00756
Asac06G000700.1	ACSA_00757
Asac10G006910.1	ACSA_00758
Asac13G003570.1	ACSA_00759
Asac05G009240.1	ACSA_00760
Asac10G015230.1	ACSA_00761
Asac05G012880.1	ACSA_00762
Asac04G015040.1	ACSA_00763
Asac13G013620.1	ACSA_00764
Asac04G018250.1	ACSA_00765
Asac135S000050.1	ACSA_00766
Asac01G021510.1	ACSA_00767
Asac03G017130.1	ACSA_00768
Asac06G011530.1	ACSA_00769
Asac08G016090.1	ACSA_00770
Asac01G024510.1	ACSA_00771
Asac02G014770.1	ACSA_00772
Asac08G006840.1	ACSA_00773
Asac06G005130.1	ACSA_00774
Asac005S000060.1	ACSA_00775
Asac04G020140.1	ACSA_00776
